,Title,Summary,Link,Time,Source,Address,State,Zip
0,Waffle House employee shot behind Arlington restaurant,"JACKSONVILLE, Fla. - A Waffle House employee is recovering after she was shot behind the Arlington restaurant.

Officers were called to the restaurant on Atlantic Boulevard and Brookview Drive just before 2:30 a.m. Monday. The shooting took place in the back of the restaurant where Aggravated Battery Detectives and Crime Scene detectives could be seen processing the scene.

The woman was found with one gunshot wound and was transported to a nearby hospital with non-life-threatening injuries.

Detectives are working to determine a motive for the shooting. While no suspects are in custody, investigators said they were provided with descriptions for three unknown individuals. Part of their investigation will include interviewing the woman who was injured.

Residents nearby said they didn’t hear anything and shootings are not common in the area.

Anyone with information is asked to contact JSO at 904-630-0500, email: JSOCRIMETIPS@jaxsheriff.org or call Crime Stoppers at 1-866-845-TIPS.

Copyright 2019 by WJXT News4Jax - All rights reserved.",https://www.news4jax.com/news/local/jacksonville/waffle-house-employee-shot-behind-arlington-restaurant,2019-05-13T09:26:21Z,WJXT,"4 Broadcast Pl, Jacksonville, FL 32207, USA",FL,32207
1,Gator makes early morning visit on woman's doorstep,"Copyright 2019 Nexstar Broadcasting, Inc. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed. Manatee County Sheriff's Office

PARRISH, Fla. (WFLA) - A Harrison Ranch woman had the wake-up call of a lifetime after she discovered an alligator on her doorstep earlier this week.

A picture posted to the sheriff's office's Facebook page shows Sgt. Hendrickson holding the gator who was safely relocated",https://www.wfla.com/news/local-news/manatee-county/gator-makes-early-morning-visit-on-woman-s-doorstep/1998617907,2019-05-13T08:45:00Z,WFLA,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
3,Man arrested after deadly machete attack on Appalachian Trail hikers,"A Massachusetts man faces a federal murder charge after he allegedly attacked two hikers on the Appalachian Trail, leaving one of them dead, according to the U.S. Attorney's Office for the Western District of Virginia.James L. Jordan, 30, was arrested Saturday morning and charged with one count of murder and one count of assault with the intent to murder, the U.S. Attorney's Office said in a statement. Charges will be formally filed in U.S. District Court in Abingdon on Monday morning, when Jordan is expected to make his first court appearance.The Wythe County Sheriff's Office previously said in a statement they were investigating reports that a man with a machete injured two hikers — one man and one woman — but did not say that one of them had died. Neither victim has been identified.U.S. Attorney Thomas Cullen applauded local law enforcement agencies for rescuing the hikers following the alleged attack and taking Jordan into custody.""Thanks to their efforts, the suspect was safely apprehended and a seriously wounded victim received critical medical care,"" Cullen said in the news release. ""We will continue to work with our state and local partners to bring the perpetrator of this senseless and brutal attack to justice.""The investigation is ongoing, the statement said.CNN was unable to determine Sunday whether Jordan was represented by an attorney.Wythe County Sheriff Keith Dunagan told WSLS-TV authorities were able to find the injured man using GPS technology after he sent an emergency notification on his phone.""The phone company notified us and that's when we went up there and found the suspect and the victim,"" the sheriff said. ""We had our whole (tactical) team out there, so (the suspect) wisely just surrendered himself.""The injured woman was found only after she had walked six miles while bleeding, Dunagan told WSLS-TV, and found other hikers and asked for help.

A Massachusetts man faces a federal murder charge after he allegedly attacked two hikers on the Appalachian Trail, leaving one of them dead, according to the U.S. Attorney's Office for the Western District of Virginia.

James L. Jordan, 30, was arrested Saturday morning and charged with one count of murder and one count of assault with the intent to murder, the U.S. Attorney's Office said in a statement. Charges will be formally filed in U.S. District Court in Abingdon on Monday morning, when Jordan is expected to make his first court appearance.

Advertisement

The Wythe County Sheriff's Office previously said in a statement they were investigating reports that a man with a machete injured two hikers — one man and one woman — but did not say that one of them had died. Neither victim has been identified.

U.S. Attorney Thomas Cullen applauded local law enforcement agencies for rescuing the hikers following the alleged attack and taking Jordan into custody.

""Thanks to their efforts, the suspect was safely apprehended and a seriously wounded victim received critical medical care,"" Cullen said in the news release. ""We will continue to work with our state and local partners to bring the perpetrator of this senseless and brutal attack to justice.""

The investigation is ongoing, the statement said.

CNN was unable to determine Sunday whether Jordan was represented by an attorney.

Wythe County Sheriff Keith Dunagan told WSLS-TV authorities were able to find the injured man using GPS technology after he sent an emergency notification on his phone.

""The phone company notified us and that's when we went up there and found the suspect and the victim,"" the sheriff said. ""We had our whole (tactical) team out there, so (the suspect) wisely just surrendered himself.""

The injured woman was found only after she had walked six miles while bleeding, Dunagan told WSLS-TV, and found other hikers and asked for help.

AlertMe",https://www.wpbf.com/article/man-arrested-after-deadly-machete-attack-on-appalachian-trail-hikers/27447432,2019-05-13T03:12:00Z,WPBF-TV,"Northcorp Business Park, Palm Beach Gardens, FL 33410, USA",FL,33410
4,Woman accused of torturing 4 adopted daughters,"Woman accused of torturing 4 adopted daughters Copyright 2019 Nexstar Broadcasting, Inc. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed. This Friday, May 10, 2019 mug photo released by the El Dorado Sheriff's Office shows Patricia Taylor, 63, of Placerville, Calif. .(El Dorado Sheriff's Office via AP) [ + - ] Video

PLACERVILLE, Calif. (AP) — A Northern California woman has been arrested on suspicion of abusing four girls she adopted.

The El Dorado County Sheriff’s office said 63-year-old Patricia Taylor was an adoptive mother to the girls, ranging from 11 to 16 years old, and had fostered and adopted several other children in the past who’ve moved out.

An investigation was launched in April when a 14-year-old girl ran away from Taylor’s home in Placerville and told authorities about years of abuse. Detectives talked to Taylor’s other adopted daughters and they made similar allegations.

Taylor was arrested Thursday and booked for investigation of torture, child abuse, false imprisonment, willful cruelty to a child and lewd and lascivious conduct of a child. She’s being held on nearly $1.5 million bail. It wasn’t immediately known if she had a lawyer who could speak on her behalf.

The children are in protective custody.",http://www.wfla.com/national/woman-accused-of-torturing-4-adopted-daughters/1998323536,2019-05-13T01:37:11Z,WFLA,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
5,1 dead in shootout near Trump hotel,"(CNN) - A man died and a woman was injured in a shootout near a Trump resort in the Miami area Sunday.

According to witnesses, the shooting began when two groups of rival rappers started arguing outside the Trump International Beach Resort in Sunny Isles Beach and it led to gunfire.

Someone who knows the man who was killed says he was not involved in the shootout but got caught in the crossfire.

A 19-year-old woman was taken to a hospital in unknown condition.

According to witnesses, she is rapper NBA YoungBoy's girlfriend.

Police are searching for three suspects who had guns, including handguns and an AK-47s.",http://www.wfla.com/news/florida/1-dead-in-shootout-near-trump-hotel/1998310256,2019-05-13T01:22:52Z,WFLA,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
6,Woman fatally struck by Hummer in Ruskin,,https://www.wfla.com/video/woman-fatally-struck-by-hummer-in-ruskin_20190512231533/1998184407,2019-05-12T23:15:53Z,WFLA,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
8,"Local woman killed, PBSO corrections deputy injured in wrong-way crash",,http://cbs12.com/news/local/local-woman-killed-pbso-corrections-deputy-injured-in-wrong-way-crash,2019-05-12T22:36:55Z,WPEC,"1100 Fairfield Dr, West Palm Beach, FL 33407, USA",FL,33407
9,Neighbors identify woman found dead with dead man in Nocatee home,"NOCATEE, Fla. - Neighbors identify the woman found dead in a Nocatee home Saturday as Lynn Bender. That name matches what public records show about who lived at this home. Bender worked as a realtor for Remax. She lives one street over and she was supposed to host an open house at this home yesterday morning from 11 to 2 and when she didn't show up, that's when people started making calls.

The St. Johns County Sheriff's Office responded Saturday afternoon to investigate the suspicious deaths of a man and woman at 203 Southern Oak Drive in Nocatee.

Neighbor said their neighbor called her boss who called her family member who then came to check on her and found her and a man dead inside.

The St Johns County Sheriff's office has not released the details involving how the two died or the relationship. But the Clerk of Courts website shows Bender had filed a petition for an injunction against a man named Simon Hanley in December 2018. The injunction was filed against stalking violence.

Neighbors say they saw an odd man in the past at her home.

""She had taken out a restraining order against someone and the particular person was the one that I know now was odd and we should've cautioned her against spending time with him but she had a big heart and she couldn't help but want to help others,"" said neighbor Jane Amorim.

Neighbors say it was a rough night for them and people are torn up about this.

People are posting on facebook that she was a really sweet person and sending prayers to her loved ones.

Copyright 2019 by WJXT News4Jax - All rights reserved.",https://www.news4jax.com/news/florida/st-johns-county/neighbors-identify-woman-found-dead-in-nocatee-home,2019-05-12T21:56:15Z,WJXT,"4 Broadcast Pl, Jacksonville, FL 32207, USA",FL,32207
10,Missing Marion County woman considered endangered,"Officials are searching for a woman out of Marion County who they said is endangered. Patricia Ann Welsh left her home on SE 160th Court in Ocklawah on Monday, possibly on foot.Police said they do not have a description of what she was wearing but said she is 5 foot 6 inches tall and 140 pounds. Deputies said her behavior has caused a concern for her well-being.Anyone with information is asked to contact 911.

Officials are searching for a woman out of Marion County who they said is endangered.

Patricia Ann Welsh left her home on SE 160th Court in Ocklawah on Monday, possibly on foot.

Advertisement

Police said they do not have a description of what she was wearing but said she is 5 foot 6 inches tall and 140 pounds.

Deputies said her behavior has caused a concern for her well-being.

Anyone with information is asked to contact 911.

AlertMe",https://www.wesh.com/article/missing-marion-county-woman-considered-endangered/27446811,2019-05-12T20:12:00Z,WESH-TV,"1021 Wymore Rd, Winter Park, FL 32789, USA",FL,32789
11,Missing Daytona Beach woman found,"UPDATE: Michelle Ricks has been found.Officials in Daytona Beach are searching for a woman who went missing on Sunday.Authorities said Michelle Ricks is 34 years old but has the mental capacity of a 5-year-old.Ricks is deaf and mute, and also has autism. Officials said she was last seen in the 200 block of Bill France Boulevard around 12:30 p.m.Anyone with information is asked to contact Detective David Dinardi at 386-671-5219.

UPDATE: Michelle Ricks has been found.

Officials in Daytona Beach are searching for a woman who went missing on Sunday.

Advertisement

Authorities said Michelle Ricks is 34 years old but has the mental capacity of a 5-year-old.

Ricks is deaf and mute, and also has autism.

Officials said she was last seen in the 200 block of Bill France Boulevard around 12:30 p.m.

Anyone with information is asked to contact Detective David Dinardi at 386-671-5219.

AlertMe",https://www.wesh.com/article/authorities-search-for-missing-woman-with-autism-in-daytona-beach/27446751,2019-05-12T19:53:00Z,WESH-TV,"1021 Wymore Rd, Winter Park, FL 32789, USA",FL,32789
12,"Man killed, woman wounded in shootout in Sunny Isles Beach","SUNNY ISLES BEACH, Fla. - A man was killed and a woman was wounded during a shootout Sunday outside the Trump International Beach Resort in Sunny Isles Beach, authorities said.

The shooting happened around 1:30 p.m. Sunday outside the resort in the 18000 block of Collins Avenue.

Paramedics transported the 19-year-old woman to Aventura Hospital and Medical Center. Her condition was not disclosed.

This is a breaking news story. It will be updated.

Copyright 2019 by WPLG Local10.com - All rights reserved.",https://www.local10.com/news/florida/miami-dade/man-killed-woman-wounded-in-shootout-involving-rapper-youngboy-never-broke-again,2019-05-12T19:06:19Z,WPLG,"3401 W Hallandale Beach Blvd, Pembroke Park, FL 33023, USA",FL,33023
13,"Police search for missing woman who is deaf, mute and has autism","- Police in Daytona Beach are searching for a missing woman who is deaf, mute, and has autism.

The Daytona Beach Police Department says that they are looking for 34-year-old Michelle Ricks. She was last seen in the 200th block of Bill France Boulevard at 12:30 p.m.

They say that Michelle has autism and the mental capacity of a five-year-old. She is also deaf and mute.

If anyone have any information regarding the whereabouts of Michelle, please contact Detective David Dinardi at 386-6761-5219.

This story was written in Orlando, Florida.",http://www.fox35orlando.com/news/local-news/police-search-for-missing-woman-who-is-deaf-mute-and-has-autism,2019-05-12T19:01:05Z,FOX 35 ORLANDO,"35 Skyline Dr, Lake Mary, FL 32746, USA",FL,32746
14,Daytona Beach Police search for missing woman with autism,"DAYTONA BEACH, Fla. - The Daytona Beach Police Department is asking for help locating a missing woman they believe to be endangered.

Michelle Ricks, 34 was reported missing Sunday afternoon. She was last seen in the 200 block of Bill France Boulevard, Police said.

According to officials, Ricks has autism and the mental capacity of a 5-year-old. Officials add that she can not hear or speak.

Anyone who has information regarding Ricks' whereabouts is asked to please contact Detective David Dinardi at 386-671-5219.

Copyright 2019 by WKMG ClickOrlando - All rights reserved.",https://www.clickorlando.com/news/daytona-beach-police-search-for-missing-woman-with-autism,2019-05-12T18:42:40Z,WKMG,"4466 N John Young Pkwy, Orlando, FL 32804, USA",FL,32804
16,Deputies in Marion County search for missing and endangered woman,"- Deputies in Marion County are looking for a missing woman.

The Marion Couny Sheriff's Office say that 66-year-old Patricia Ann Welsh left her home on SE 160th Court in Ocklawaha on Monday. She was possibly pn foot and it is not known what she was wearing.

They say that Welsh has displayed behavior that has caused concern for her well-being.

If you have any information about Patricia's whereabouts, please call 911.

This story was written in Orlando, Florida.",http://www.fox35orlando.com/news/local-news/deputies-in-marion-county-search-for-missing-and-endangered-woman,2019-05-12T16:04:12Z,FOX 35 ORLANDO,"35 Skyline Dr, Lake Mary, FL 32746, USA",FL,32746
