,Title,Summary,Link,Time,Source,Category,Address,State,Zip
4,Man injured after device explodes outside California diner,"FULLERTON, Calif. (AP) — A man suffered serious injuries to his hands and face Friday after a device he was holding exploded near a Southern California diner, police said.

Fullerton police Lt. Jon Radus said authorities received a call around 8:50 a.m. about the explosion in the city some 25 miles (40 kilometers) southeast of Los Angeles.

Initially, police were told it could be an electrical box and evacuated nearby businesses, he said. Investigators later determined the blast was caused by an improvised explosive device and found a second improvised explosive device in the area, he said.

“We believe they were his,” Radus said, adding that police would seek to have the 59-year-old man criminally charged.

The man was taken to the hospital with serious injuries to his fingers, face and throat, Radus said. Police declined to provide the man’s name.

---

For local and breaking news, and to get weather alerts, download our FREE mobile app from the Apple App Store or the Google Play Store.",http://www.yourcentralvalley.com/news/man-injured-after-device-explodes-outside-california-diner/1996928090,2019-05-12T00:24:10Z,YOURCENTRALVALLEY,Couple,"5035 E McKinley Ave, Fresno, CA 93727, USA",CA,93727
8,Suspected Northern California killer may be headed south to avoid arrest,"Joshua Vaden (Photo: Sacramento County Sheriff's Department)

SACRAMENTO — A Northern California man is on the run.

The FBI believes he is headed south to escape arrest and are asking for the public's help to find the man wanted in connection with an April homicide.

Joshua Thomas Vaden, 30, is accused of fleeing Sacramento after an April homicide investigation.

On Wednesday, the FBI got a federal warrant for Vaden for ""unlawful flight to avoid prosecution."" Authorities believe Vaden may be heading to Mexico, fleeing south on Highway 99 or Interstate 5.

On April 14, the Sacramento County Sheriff’s Department was called to a home in the 7000 block of Peevey Court in south Sacramento.

The caller said he went to the home and found his family member dead inside. The victim had been ""violently"" assaulted before being slain, according to deputies.

During their investigation, homicide detectives and crime scene investigators identified Vaden as the killer.

Vaden has an active warrant in Sacramento County for the homicide.

He is described as a black man, 5-feet, 9 inches tall with dark brown hair and brown eyes.

Sacramento County detectives are also looking to identify a person of interest and are trying to locate a vehicle associated with the victim, a gray 2017 Ford Fiesta with Illinois license plate AM73381.

Anyone with information about the man’s location or person involved is urged to call the FBI Sacramento Field Office at (916) 746-7000. Tips may also be submitted anonymously to tips.fbi.gov.

Sheyanne Romero covers Tulare County public safety, local government and business for the Visalia Times-Delta and Tulare Advance-Register newspapers. Follow her on Twitter @sheyanne_VTD. Get alerts and keep up on all things Tulare County for as little as $1 a month. Subscribe today.

Read or Share this story: https://www.visaliatimesdelta.com/story/news/2019/05/10/suspected-northern-california-killer-may-headed-south-avoid-arrest/1170227001/",http://rssfeeds.visaliatimesdelta.com/~/601844556/0/visalia/news~Suspected-Northern-California-killer-may-be-headed-south-to-avoid-arrest/,2019-05-11T09:35:58Z,Visalia Times-Delta and Tulare Advance-Register,Couple,"388 E Cross Ave, Tulare, CA 93274, USA",CA,93274
14,Suspected northern California killer may be headed south to avoid arrest,"Joshua Vaden (Photo: Sacramento County Sheriff's Department)

SACRAMENTO — A Northern California man is on the run.

The FBI believes he is headed south to escape arrest and are asking for the public's help to find the man wanted in connection with an April homicide.

Joshua Thomas Vaden, 30, is accused of fleeing Sacramento after an April homicide investigation.

On Wednesday, the FBI got a federal warrant for Vaden for ""unlawful flight to avoid prosecution."" Authorities believe Vaden may be heading to Mexico, fleeing south on Highway 99 or Interstate 5.

On April 14, the Sacramento County Sheriff’s Department was called to a home in the 7000 block of Peevey Court in south Sacramento.

The caller said he went to the home and found his family member dead inside. The victim had been ""violently"" assaulted before being slain, according to deputies.

During their investigation, homicide detectives and crime scene investigators identified Vaden as the killer.

Vaden has an active warrant in Sacramento County for the homicide.

He is described as a black man, 5-feet, 9 inches tall with dark brown hair and brown eyes.

Sacramento County detectives are also looking to identify a person of interest and are trying to locate a vehicle associated with the victim, a gray 2017 Ford Fiesta with Illinois license plate AM73381.

Anyone with information about the man’s location or person involved is urged to call the FBI Sacramento Field Office at (916) 746-7000. Tips may also be submitted anonymously to tips.fbi.gov.

Sheyanne Romero covers Tulare County public safety, local government and business for the Visalia Times-Delta and Tulare Advance-Register newspapers. Follow her on Twitter @sheyanne_VTD. Get alerts and keep up on all things Tulare County for as little as $1 a month. Subscribe today.

Read or Share this story: https://www.visaliatimesdelta.com/story/news/2019/05/10/suspected-northern-california-killer-may-headed-south-avoid-arrest/1170227001/",http://rssfeeds.visaliatimesdelta.com/~/601844556/0/visalia/news~Suspected-northern-California-killer-may-be-headed-south-to-avoid-arrest/,2019-05-10T20:29:29Z,Visalia Times-Delta and Tulare Advance-Register,Couple,"388 E Cross Ave, Tulare, CA 93274, USA",CA,93274
15,California second best place to find Big Foot,"The urban legend of Big Foot apparently lives strong in California. The Travel Channel recently conducted research for a new show and found that California has almost the most Big Foot sightings than any other state. California has had 1,697 sasquatch sightings over the past several decades. Nationwide, there are over 23,000 reported Big Foot sightings. The state with the most sasquatch sightings is Washington.

The man behind the famous Big Foot film footage from 1967 recently spoke in Fresno. You can see it here: https://www.yourcentralvalley.com/news/local-news/-iknow-what-isaw-man-behind-iconic-60s-bigfoot-film-makes-a-stop-in-fresno-1/1905780471

---

For local and breaking news, and to get weather alerts, download our FREE mobile app from the Apple App Store or the Google Play Store.",http://www.yourcentralvalley.com/news/california-second-best-place-to-find-big-foot/1994835701,2019-05-10T18:00:41Z,YOURCENTRALVALLEY,Couple,"5035 E McKinley Ave, Fresno, CA 93727, USA",CA,93727
16,Boy dressed as Spider-Man meets favorite super hero at Disney California Adventure,"THIS IS ADORABLE: Little Christopher not only met Spider-Man, he got to show off for the crowd, shooting webs and posing for pictures with his favorite super hero.",https://abc7.com/society/boy-dressed-as-spider-man-meets-his-favorite-super-hero/5294259/,2019-05-10T15:53:00Z,ABC7 Los Angeles,Couple,"500 Circle 7 Dr, Glendale, CA 91201, USA",CA,91201
21,Prosecutors add hate crime charges in California synagogue shooting,"Federal officials announced Thursday that they have filed 109 hate crime charges against the 19-year-old man accused of opening fire in a Southern California synagogue.Prosecutors say the gunman, identified as John T. Earnest, killed a woman and wounded an 8-year-old girl, her uncle and Rabbi Yisroel Goldstein, who was leading the service at the Chabad of Poway synagogue on the last day of Passover, a major Jewish holiday.In a court appearance last month, Earnest pleaded not guilty to state charges of murder and attempted murder. In a separate case, he has pleaded not guilty to burning a mosque in nearby Escondido.Authorities say he fired at least eight shots in the synagogue before fleeing.Earnest would be eligible for the death penalty or life in prison without parole if convicted of murder that is classified as a hate crime. California Gov. Gavin Newsom in March issued a moratorium on executions while he is in office.Prosecutors say Earnest expressed his ""intent to harm Jews"" in an online posting. He also acknowledged using gasoline to spark a blaze that charred a wall of the Escondido mosque and scrawling graffiti praising the gunman who killed 50 people at two New Zealand mosques last month.Earnest was an accomplished student, athlete and musician whose embrace of white supremacy and anti-Semitism stunned his family and others closest to him. He lived with his parents and made the dean's list both semesters last year as a nursing student at California State University, San Marcos.Earnest frequented 8chan, a dark corner of the web where those disaffected by mainstream social media sites often post extremist, racist and violent views.""I've only been lurking here for a year and half, yet what I've learned here is priceless. It's been an honor,"" he wrote.Federal hate crime charges were also filed against the gunman who last fall opened fire at Pittsburgh's Tree of Life Synagogue, killing 11 worshippers. Authorities in that case say Robert Bowers also expressed hatred of Jews. Bowers, 46, has pleaded not guilty.

Federal officials announced Thursday that they have filed 109 hate crime charges against the 19-year-old man accused of opening fire in a Southern California synagogue.

Prosecutors say the gunman, identified as John T. Earnest, killed a woman and wounded an 8-year-old girl, her uncle and Rabbi Yisroel Goldstein, who was leading the service at the Chabad of Poway synagogue on the last day of Passover, a major Jewish holiday.

Advertisement

In a court appearance last month, Earnest pleaded not guilty to state charges of murder and attempted murder. In a separate case, he has pleaded not guilty to burning a mosque in nearby Escondido.

Authorities say he fired at least eight shots in the synagogue before fleeing.

Earnest would be eligible for the death penalty or life in prison without parole if convicted of murder that is classified as a hate crime. California Gov. Gavin Newsom in March issued a moratorium on executions while he is in office.

Prosecutors say Earnest expressed his ""intent to harm Jews"" in an online posting. He also acknowledged using gasoline to spark a blaze that charred a wall of the Escondido mosque and scrawling graffiti praising the gunman who killed 50 people at two New Zealand mosques last month.

Earnest was an accomplished student, athlete and musician whose embrace of white supremacy and anti-Semitism stunned his family and others closest to him. He lived with his parents and made the dean's list both semesters last year as a nursing student at California State University, San Marcos.

Earnest frequented 8chan, a dark corner of the web where those disaffected by mainstream social media sites often post extremist, racist and violent views.

""I've only been lurking here for a year and half, yet what I've learned here is priceless. It's been an honor,"" he wrote.

Federal hate crime charges were also filed against the gunman who last fall opened fire at Pittsburgh's Tree of Life Synagogue, killing 11 worshippers. Authorities in that case say Robert Bowers also expressed hatred of Jews. Bowers, 46, has pleaded not guilty.

AlertMe",https://www.kcra.com/article/prosecutors-add-hate-crime-charges-synagogue-shooting/27422803,2019-05-09T18:43:00Z,KCRA-TV,Couple,"3 Television Cir, Sacramento, CA 95814, USA",CA,95814
26,Cost of justice: Probation fees burden some California inmates,"Cost of justice: Probation fees burden some California inmates Share Shares Copy Link Copy

Hide Transcript Show Transcript

SAY THAT COST IS TOO HIGH. MATHEW TRATTNER IS THE FACE OF SECOND CHANCES. >> I WAS IN PRISON FOR 2ND DEGREE MURDER. BRIAN: AS A TEENAGER, NOT EVEN OLD ENOUGH TO DRIVE, HE KILLED A MAN. >> I WENT OUT WITH SOME PEOPLE TRYING TO IMPRESS SOME KIDS USED TO HANG AROUND WITH IN THE STREET. BRIAN: TRATTNER WAS TAKEN TO COURT, CONVICTED AND SENT TO JUVENILE DETENTION WITH PROBATION WHEN HE WAS RELEASED NOW IN HIS TWENTIES, TRATTNER SAYS HE FOUND GOD AND A PURPOSE. >> I ENDED UP WORKING MY WAY TO FIRE CAMP AND FOUGHT FIRES FOR 1.5 YEARS. BRIAN: TRATTNER WAS PART OF AN INMATE CREW THAT HELPED FIGHT SANTA BARBRA’S DEADLY THOMAS FIRE IN DECEMBER OF 2017. HE GOT PAID FOR HIS WORK AND HE USED THAT MONEY TO HELP PAY OFF HIS DEBTS. JUST GOING TO COURT CAN RACK THOUSANDS TO TENS OF THOUSANDS OF DOLLARS IN FEES. EVERYTHING FROM RESTITUTION THE VICTIMS, TO THE COST OF THE COURT CLERK, EVEN THE PUBLIC DEFENDER. AND IT DOESN’T END WHEN YOU LEAVE THE JAILHOUSE. PROBATION CAN TACK ON FEES ONCE YOU GET OUT. >> WE’RE ALREADY PAYING RESTITUTION, YOU KNOW WHAT I MEAN? WHY DO WE HAVE ALL THESE JACKED UP COURT FINES AND ALL THESE OTHER EXTRA THINGS ON TOP OF Y KNOW WHAT WE OWE THE VICTIMS I UNDERSTAND THE VICTIMS BUT EVERYTHING ELSE ON TOP OF IT IT’S LIKE EVERYONE’S TRYING TO GET SOMETHING. BRIAN: THERE ARE NEARLY TWO DOZEN FEES THAT COUNTY PROBATION DEPARTMENTS CAN CHARGE, EVERYTHING FROM PRE-SENTENCE REPORTS TO DRUG TESTING TO THE PUBLIC DEFENDER. >> SOMETIMES IT’S TO THE POINT WHERE IT’S SO OVERWHELMING THE AMOUNT THAT I DON’T SEE A PERSON PAYING THAT OFF AT ALL. EXPERT WHO TABULATED FEES FROM EVERY COUNTY IN CALIFORNIA. >> $3600 FOR THE AVERAGE FOR THE TOP THREE FEES YOU KNOW, MOST AMERICANS CAN’T EVEN AFFORD A $1000 EMERGENCY AND THESE PEOPLE ARE EVEN MORE LOW INCOME ON AVERAGE. BRIAN: GAMBOA-EASTMAN’S REPORT FOUND THERE IS NO UNIFORM SET OF FEES. EVERY COUNTY IS DIFFERENT. >> BECAUSE YOU’RE CHARGING THESE FEES TO PEOPLE WHO LARGELY CAN’T AFFORD THEM, THE COUNTIES AREN’T COLLECTING THEM. IT’S LARGELY OUTSTANDING DEBT THAT SITS ON THE BOOKS FOR YEARS AND YEARS. BRIAN: AND IN SACRAMENTO COUNTY, THE NUMBERS BACK HER UP. LOOKING AT THE 2016-2017 FISCAL YEAR AS AN EXAMPLE, THE COUNTY CHARGED PROBATIONER MORE THAN $7 MILLION IN FEES, BUT IT COLLECTED $2.5 MILLION. NOW THAT SEEMS LIKE A LOT, BUT THE COST TO COLLECT THAT MONEY IS HIGH, TOO. WE’LL TALK ABOUT THAT LATER >> IT’S SOMETHING THAT WE ASK ADULT OFFENDERS, PROBABLY RIGHTLY SO, TO PAY OTHERWISE THAT BURDEN GOES TO THE TAXPAYERS. BRIAN: KIM NAVA WITH SACRAMENTO COUNTY SAYS GETTING RID OF THOSE FEES WOULD HURT THE BUDGETS FOR PROBATION, THE SHERIFF, AND TH PUBLIC DEFENDER. SHE SAYS THEIR FINANCE DEPARTMENT WORKS WITH PROBATIONERS TO PAY WITHIN THEIR MEANS. >> IN SOME CASES IF PEOPLE ARE ON GENERAL ASSISTANCE OR IF THEY ARE UNEMPLOYED OR UNDER-EMPLOYED FINANCE WILL WORK WITH THEM TO GREATLY REDUCE THOSE FEES AND IN SOME CASES ZERO THEM OUT. BRIAN: THOUGH MATHEW TRATTNER SAYS HE CANNOT RECALL ANYONE ASKING IF HE WAS FINANCIALLY ABLE TO PAY HIS DOLLAR AMOUNT. NOW THAT HE’S MARRIED, HE SAYS THE COUNTY CONSIDERS HER SALARY AS PART OF HIS INCOME, TOO. NOW HE IS BEING CHARGED EVEN MORE MONEY EACH MONTH. >> NOW THEY’RE WANTING ME TO P $300 A MONTH AND I PERSONALLY I HAVE AN APARTMENT FOR $930 BECAUSE WE’RE AN AFFORDABLE HOUSING UNIT. BRIAN: ALAMEDA AND SAN FRANCISCO COUNTIES HAVE ELIMINATED THEIR FEES, SAYING THE EFFECT WAS MINIMAL ON THEIR BUDGETS. WHICH BRINGS US BACK TO SACRAMENTO COUNTY. REMEMBER IT COLLECTED $2 MILLION IN PROBATION FEES? IT COST THEM $1.8 MILLION TO COLLECT THOSE FEES. IN THE END IT GAINED JUST $700,000 GIVEN ALL THAT, A PUSH IS UNDERWAY IN THE STATE LEGISLATURE TO PUT AN END TO THIS WHOLE SYSTEM. A BILL BY STATE SENATOR HOLLY MITCHELL THAT WOULD END THE FEES IS MAKING ITS WAY THROUGH THE SENATE. SACRAMENTO AND OTHER COUNTIES THINK THE BILL IS A BAD IDEA. >> SACRAMENTO COUNTY OPPOS SB-144 UNLESS THOSE FEES ARE SOMEHOW REPLENISHED OR RECOUPED. BRIAN: AS FOR TRATTNER, HE’S NOW WORKING AT A CAR WASH TRYING TO MAKE ENDS MEET. >> I LEARNED THAT THE REHABILITATION WAS MEANT TO HE A PERSON OVERCOME THEIR CIRCUMSTANCES AND ACTUALLY LIVE A LIFE THAT IS POSITIVE AND STEAD OF THAT IS NEGATIVE AND ACTUALLY BE A PROFIT TO SOCIETY. BRIAN: BUT WITH THE FEES HE HAS TO PAY THAT PROFIT WILL HAVE TO WAIT UNTIL HIS DEBT TO SOC",https://www.kcra.com/article/cost-of-justice-probation-fees-burden-some-california-inmates/27426153,2019-05-10T02:36:00Z,KCRA-TV,Couple,"3 Television Cir, Sacramento, CA 95814, USA",CA,95814
33,California child molester who faked death nabbed in Florida,"CHICO, Calif. (AP) - A Northern California man who police say faked his own suicide to avoid jail for child sexual assault and pornography has been arrested in Florida.

58-year-old Michael Manning, of Chico, California, was arrested in Monroe County, Florida.



Chico police say that Manning had a hearing scheduled on Oct. 6, 2016, to be sentenced on child sexual abuse, child pornography and other charges but he didn't show up.



Chico police say a suicide note in Manning's handwriting was found in a car he rented that was left near Golden Gate Bridge in San Francisco, but his body was not found.



Deputies in Florida arrested him May 3 after he identified himself with a fake U.S. passport and U.S. Navy identification card during a burglary investigation.



For live, local news, download the KRONon app. It lets you watch commercial-free the Bay Area's Local News Station on multiple streaming devices.

Click here to subscribe for a free 7-day trial

WHAT OTHERS ARE CLICKING ON:

>>MORE STORIES",http://www.kron4.com/news/california/california-child-molester-who-faked-death-nabbed-in-florida/1989977957,2019-05-08T20:58:50Z,KRON,Couple,"766 3rd Ave, San Francisco, CA 94118, USA",CA,94118
37,California audit finds thousands in improper state payments,"Advertisement California audit finds thousands in improper state payments Share Shares Copy Link Copy

A California Department of Transportation manager commuted some 450 miles to work -- from San Diego to Sacramento -- for two years and the state paid for it, according to an audit released Tuesday.A state hospital administrator also racked up tens of thousands of dollars with long commutes and a prison administrator watched thousands of YouTube videos at work. Those were among the more egregious misuses of taxpayer money outlined in the report on improper activities by state agencies and employees.The California state auditor said investigations completed between July and December of last year identified about $427,000 in inappropriate expenditures. It did not specifically identify any of the people involved in the improprieties.Most of the agencies involved indicated that they had or intended to investigate the misuses and implement training and other reforms to prevent future violations.In one case, the report said a senior management employee with the California Department of Fish and Wildlife ""dishonestly represented his work experience and received a promotion to branch chief for which he was not qualified,"" State Auditor Elaine Howle said in a letter to the governor and other officials included in the report. She said as a result of the promotion, the man improperly received nearly $235,000 in compensation.Other violations:- The transportation department reimbursed a manager nearly $42,000 over two years for the costs of airfare, rental cars, meals, lodging and other costs of commuting from her San Diego home to Sacramento, where she was supposed to be headquartered. The manager violated state law by charging the agency for such expenses, the audit concluded.The report said the agency would attempt to collect the money from the manager, who retired last year.- As a result of ""mismanagement and the improper designation of an administrator's headquarters,"" the audit said the Department of State Hospitals wasted nearly $47,800 by paying for an administrator to travel from home to headquarters in Sacramento.- A manager improperly used a state car for his personal commute, racking up nearly 42,000 miles (67,589 kilometers) between his home and the correctional facility where he worked and costing taxpayers some $22,500.- An administrator in the education program at Valley State Prison in Chowchilla accessed more than 2,200 YouTube videos - 55 in one day alone - that were unrelated to his work on his state-issued computer during work hours.""Most of the videos featured recreational vehicles, footage from crimes, and political or religious commentary. To access these videos, the administrator deliberately used his credentials and authority to bypass CDCR's safeguards against such activity, the report said.The administrator is now retired, the audit noted.",https://www.kcra.com/article/california-audit-finds-thousands-in-improper-state-payments/27399870,2019-05-08T04:28:00Z,KCRA-TV,Couple,"3 Television Cir, Sacramento, CA 95814, USA",CA,95814
40,Police: Central California Mom Killed By Man She Got Restraining Order Against,"<img width=""150"" height=""84"" src=""https://cbssacramento.files.wordpress.com/2015/08/470671796.jpg?w=150"" class=""attachment-thumbnail size-thumbnail wp-post-image"" alt="""" srcset=""https://cbssacramento.files.wordpress.com/2015/08/470671796.jpg?w=150 150w, https://cbssacramento.files.wordpress.com/2015/08/470671796.jpg?w=298 298w"" sizes=""(max-width: 150px) 100vw, 150px"" />Authorities in Fresno suspect a woman was shot and killed by the man she got a domestic-violence restraining order against a day earlier.",https://sacramento.cbslocal.com/2019/05/06/fresno-murder-suicide-restraining-order-suspect/,2019-05-06T15:53:51Z,CBS Sacramento,Couple,"2713 Kovr Dr, West Sacramento, CA 95605, USA",CA,95605
