,Title,Summary,Link,Time,Source,Category,Address,State,Zip
3,Florida Man Kills Wife Because She Was Speaking Disrespectfully,"<img width=""150"" height=""84"" src=""https://cbsmiami.files.wordpress.com/2019/05/18-vo-plantation-man-k_wfor0pgj.jpg?w=150"" class=""attachment-thumbnail size-thumbnail wp-post-image"" alt="""" srcset=""https://cbsmiami.files.wordpress.com/2019/05/18-vo-plantation-man-k_wfor0pgj.jpg?w=150 150w, https://cbsmiami.files.wordpress.com/2019/05/18-vo-plantation-man-k_wfor0pgj.jpg?w=300 300w"" sizes=""(max-width: 150px) 100vw, 150px"" /> Police in Florida say a man told them he fatally shot his wife because she was talking to him disrespectfully.",https://miami.cbslocal.com/2019/05/12/florida-man-kills-wife-speaking-disrespectfully/,2019-05-12T16:11:33Z,CBS Miami,Florida Man,"8900 NW 18th Terrace, Doral, FL 33172, USA",FL,33172
5,"Florida Man Shoots Raccoon Off Boat, FWC Investigating","<img width=""150"" height=""103"" src=""https://cbsmiami.files.wordpress.com/2019/01/gun-pointed-to-side.jpg?w=150"" class=""attachment-thumbnail size-thumbnail wp-post-image"" alt="""" srcset=""https://cbsmiami.files.wordpress.com/2019/01/gun-pointed-to-side.jpg?w=150 150w, https://cbsmiami.files.wordpress.com/2019/01/gun-pointed-to-side.jpg?w=300 300w"" sizes=""(max-width: 150px) 100vw, 150px"" />A Florida attorney could be facing charges after posting a video on social media showing him kill an animal.",https://miami.cbslocal.com/2019/05/12/florida-man-shoots-raccoon-off-boat/,2019-05-12T15:15:36Z,CBS Miami,Florida Man,"8900 NW 18th Terrace, Doral, FL 33172, USA",FL,33172
6,Tall grass fines lead city to foreclose on Florida man's home,"Sign in using you account with: {* loginWidget *}

Sign in using your wftv profile

Welcome back. Please sign in

Why are we asking this?

By submitting your registration information, you agree to our Terms of Service and Privacy Policy .

Already have an account?

We have sent a confirmation email to {* data_emailAddress *}. Please check your email and click on the link to activate your account.

Thank you for registering!

Thank you for registering!

We look forward to seeing you on [website] frequently. Visit us and sign in to update your profile, receive the latest news and keep up to date with mobile alerts.

Click here to return to the page you were visiting.",https://www.wftv.com/news/florida/tall-grass-fines-lead-city-to-foreclose-on-florida-man-s-home/948607144,2019-05-12T15:01:11Z,WFTV,Florida Man,"490 E South St, Orlando, FL 32801, USA",FL,32801
7,"Florida Man Speeds Down Highway While Standing Out Of Sunroof, Says He’d Rather Go To Jail Than Home To His Wife","<img width=""150"" height=""84"" src=""https://cbsmiami.files.wordpress.com/2019/05/a-tz1-vo-sunroof-drive_wfor0pr5_1.jpg?w=150"" class=""attachment-thumbnail size-thumbnail wp-post-image"" alt="""" srcset=""https://cbsmiami.files.wordpress.com/2019/05/a-tz1-vo-sunroof-drive_wfor0pr5_1.jpg?w=150 150w, https://cbsmiami.files.wordpress.com/2019/05/a-tz1-vo-sunroof-drive_wfor0pr5_1.jpg?w=300 300w"" sizes=""(max-width: 150px) 100vw, 150px"" />A Florida man decided he wanted to drive his car on a busy
expressway while standing through his sunroof.",https://miami.cbslocal.com/2019/05/12/florida-man-highway-standing-out-sunroof/,2019-05-12T14:01:15Z,CBS Miami,Florida Man,"8900 NW 18th Terrace, Doral, FL 33172, USA",FL,33172
8,Police: Florida man says he shot wife over 'disrespect',"PLANTATION, Fla. - A 73-year-old man shot his wife in the face this week inside their Plantation home, then walked to a neighbor's house and confessed that he'd killed her, authorities said.

Plantation police investigators said Fernando De Baere told them he shot Marisa Sherman, 47, because she wouldn't stop speaking disrespectfully.

Plantation police said De Baere shot her in the face, returned his .38-caliber handgun to a bedroom and then walked to a neighbor’s house to confess. The neighbor called 911.

Police said De Baere admitted to shooting his wife ""one or two times"" in the face while standing about 3 feet away from her.

De Baere was charged with murder and jailed without bond Saturday. Records did not show if he has an attorney.

Police say De Baere told them he shot his wife because he did not like the way she was talking to him during an argument. A police report says De Baere told officers exactly where to find the weapon.

Copyright 2019 by WPLG Local10.com. The Associated Press contributed to this report. All rights reserved. This material may not be published, broadcast, rewritten or redistributed.",https://www.news4jax.com/news/police-florida-man-says-he-shot-wife-over-disrespect,2019-05-12T11:53:34Z,WJXT,Florida Man,"4 Broadcast Pl, Jacksonville, FL 32207, USA",FL,32207
10,Police: Florida man says he shot wife over her disrespect,,http://weartv.com/news/local/police-florida-man-says-he-shot-wife-over-her-disrespect,2019-05-11T22:11:39Z,WEAR,Florida Man,"4990 Mobile Hwy, Pensacola, FL 32506, USA",FL,32506
13,Florida Fish and Wildlife investigating after man shoos raccoon off boat,"- A Florida agency is investigating potential animal cruelty charges after a lawyer posted video of himself shooing a raccoon off his boat into the Gulf of Mexico.

The Tampa Bay Times reports that Clearwater attorney Thomas Cope posted the video to Facebook, later issuing an apology for his actions and saying he wished he could have returned the animal to shore. Cope says the boat was about 20 miles (32 kilometers) out in the Gulf when the raccoon appeared growling and hissing.

The video also includes a man’s voice yelling at the raccoon and saying, “So long, sucker.”

The Florida Fish and Wildlife Conservation Commission said in a statement it learned of the video May 8 and began an investigation. The statement mentions that “these vile acts of animal cruelty” are intolerable.",http://www.fox35orlando.com/news/local-news/florida-fish-and-wildlife-investigating-after-man-shoos-raccoon-off-boat,2019-05-11T19:17:31Z,FOX 35 ORLANDO,Florida Man,"35 Skyline Dr, Lake Mary, FL 32746, USA",FL,32746
15,Florida agency investigates after man shoos raccoon off boat,"TAMPA, Fla. - A Florida agency is investigating potential animal cruelty charges after a lawyer posted video of himself shooing a raccoon off his boat into the Gulf of Mexico.

The Tampa Bay Times reports that Clearwater attorney Thomas Cope posted the video to Facebook, later issuing an apology for his actions and saying he wished he could have returned the animal to shore. Cope says the boat was about 20 miles (32 kilometers) out in the Gulf when the raccoon appeared growling and hissing.

The video also includes a man's voice yelling at the raccoon and saying, ""So long, sucker.""

The Florida Fish and Wildlife Conservation Commission said in a statement it learned of the video May 8 and began an investigation. The statement mentions that ""these vile acts of animal cruelty"" are intolerable.

Copyright 2019 The Associated Press. All rights reserved. This material may not be published, broadcast, rewritten or redistributed.",https://www.local10.com/news/florida/florida-agency-investigates-after-man-shoos-raccoon-off-boat-1,2019-05-11T15:42:46Z,WPLG,Florida Man,"3401 W Hallandale Beach Blvd, Pembroke Park, FL 33023, USA",FL,33023
18,WFLA NOW: Florida man hangs out sunroof on I-4,A Florida man is facing a reckless driving charge after an off-duty deputy caught him hanging out of his sunroof while driving on I-4.,https://www.wfla.com/video/wfla-now-florida-man-hangs-out-sunroof-on-i-4_20190510223851/1995445923,2019-05-10T22:39:10Z,WFLA,Florida Man,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
19,"Video captures Florida man standing, resting against sunroof while driving","A Florida man was arrested after being caught sitting on his sunroof of his vehicle while traveling on an interstate. Video captured the moment a man rested against his sunroof with his arms outstretched while traveling down the highway.He was pulled over by authorities on U.S. 98 and Wedgwood Estates Boulevard near Lakewood.When officials asked the man if he was OK, he allegedly replied, ""I don't know about that.""The arrest report said the driver told authorities he wanted to turn himself in because ""my wife treats me like a servant and she's the mistress and I'm tired of this (expletive.)""He then said, ""Lock me up, I'd rather go to jail than go back home,"" the arrest report said.A witness told officials the man was driving recklessly at more than 100 mph before slowing to about 40 mph.According to the arrest report, the man said the vehicle was on cruise control and drives itself.""I thought it would be a nice way to praise God for a minute, and I thought it would be nice at the time, and that's why I did it,"" the man is quoted as saying in the arrest report.He has been charged with reckless driving.

A Florida man was arrested after being caught sitting on his sunroof of his vehicle while traveling on an interstate.

Video captured the moment a man rested against his sunroof with his arms outstretched while traveling down the highway.

Advertisement

He was pulled over by authorities on U.S. 98 and Wedgwood Estates Boulevard near Lakewood.

When officials asked the man if he was OK, he allegedly replied, ""I don't know about that.""

The arrest report said the driver told authorities he wanted to turn himself in because ""my wife treats me like a servant and she's the mistress and I'm tired of this (expletive.)""

He then said, ""Lock me up, I'd rather go to jail than go back home,"" the arrest report said.

A witness told officials the man was driving recklessly at more than 100 mph before slowing to about 40 mph.

According to the arrest report, the man said the vehicle was on cruise control and drives itself.

""I thought it would be a nice way to praise God for a minute, and I thought it would be nice at the time, and that's why I did it,"" the man is quoted as saying in the arrest report.

He has been charged with reckless driving.",https://www.mor-tv.com/article/video-captures-florida-man-resting-against-sunroof-while-driving/27438907,2019-05-10T22:38:00Z,MOR-TV,Florida Man,"7201 E Hillsborough Ave, Tampa, FL 33610, USA",FL,33610
