,Unnamed: 0,Title,Summary,Link,Time,Source,Category,Address,State,Zip
2,12,"Lonely Florida Boy Calls 911, Makes New Friend In Responding Officer","<img width=""150"" height=""84"" src=""https://cbsmiami.files.wordpress.com/2019/05/young-boy-with-tallahassee-pd.jpg?w=150"" class=""attachment-thumbnail size-thumbnail wp-post-image"" alt="""" srcset=""https://cbsmiami.files.wordpress.com/2019/05/young-boy-with-tallahassee-pd.jpg?w=150 150w, https://cbsmiami.files.wordpress.com/2019/05/young-boy-with-tallahassee-pd.jpg?w=300 300w"" sizes=""(max-width: 150px) 100vw, 150px"" />Police officers respond to dangerous emergencies every day while on the job, but sometimes those emergencies go beyond your typical calls about a local crime.",https://miami.cbslocal.com/2019/05/09/lonely-florida-boy-calls-911-friends-officer/,2019-05-09T13:31:01Z,CBS Miami,Couple,"8900 NW 18th Terrace, Doral, FL 33172, USA",FL,33172
3,13,Judge orders 3-year-old Florida boy to undergo chemo,"TAMPA, Fla. - Court-ordered chemotherapy treatment will resume Thursday for a 3-year-old boy who is battling cancer, WTSP-TV reported.

A Hillsborough County judge on Wednesday ordered the parents of Noah McAdams to provide him with chemo treatment, which is expected to last 28 days.

According to Florida law, the state can mandate medical treatment for a child in a life-or-death situation.

Doctors diagnosed McAdams with leukemia last month. He has been through one round of chemotherapy at Johns Hopkins All Children’s Hospital.

His parents believed the chemotherapy would do more harm than good, so they took him to Kentucky to look for alternative treatments. They wanted to use CBD oil, fresh foods, Alkaline water and other measures to treat him.

The Florida Department of Children and Families put Noah in the custody of his grandparents.

The judge heard from three doctors and decided chemotherapy was the best option.

Copyright 2019 by WKMG ClickOrlando - All rights reserved.",https://www.clickorlando.com/health/judge-orders-3-year-old-florida-boy-to-undergo-chemo,2019-05-09T12:58:10Z,WKMG,Couple,"4466 N John Young Pkwy, Orlando, FL 32804, USA",FL,32804
5,17,"Florida boy calls 911, tells officer he's lonely",,http://cbs12.com/news/local/florida-boy-calls-911-tells-officer-hes-lonely,2019-05-08T13:00:06Z,WPEC,Couple,"1100 Fairfield Dr, West Palm Beach, FL 33407, USA",FL,33407
7,21,Florida boy calls 911 because he was lonely; officer agrees to be his friend,"TALLAHASSEE, Fla. – A 911 call made in Florida had a very happy ending for one little boy.

According to the City of Tallahassee Police Department’s Facebook page, a 6-year-old boy called 911 and was met by an officer. The boy told the officer he was lonely and wanted a friend.

The officer explained to the boy that 911 was a very important tool for emergencies before telling the boy that he would be happy to be his friend. The boy got to sit in a police cruiser, was given a stuffed animal and can now say he has a friend at the Tallahassee Police Department.",http://www.sflcw.com/2019/05/07/florida-boy-calls-911-because-he-was-lonely-officer-agrees-to-be-his-friend/,2019-05-07T19:21:50Z,SFLcw,Couple,"500 E Broward Blvd #800, Fort Lauderdale, FL 33394, USA",FL,33394
8,24,Grandparents get custody of Florida boy as parents fight cancer treatment,"A judge must still decide whether the parents are within their legal rights to decline chemotherapy.

TAMPA — A judge ruled that a 3-year-old Florida boy will be turned over to his maternal grandparents while his parents are involved in a legal battle over his cancer treatment.

Joshua McAdams and Taylor Bland-Ball want to treat Joshua ""Noah"" McAdams with natural remedies. When they failed to show up for his scheduled chemotherapy treatment, Florida authorities issued an endangered child alert. The family was tracked down in Kentucky and the boy was returned to Tampa.

Judge Lisa Campbell said Thursday that Noah will not resume treatment yet. She must still decide whether the parents are within their legal rights to decline chemotherapy.

Noah was diagnosed with acute lymphoblastic leukemia on April 4.

The Tampa Bay Times reports McAdams testified Noah is being treated with CBD oil, fresh foods, and alkaline water.",https://www.gainesville.com/news/20190503/grandparents-get-custody-of-florida-boy-as-parents-fight-cancer-treatment?rssfeed=true,2019-05-03T11:18:32Z,Gainesville Sun,Couple,"2700 SW 13th St, Gainesville, FL 32608, USA",FL,32608
13,40,3-year-old Florida boy dies after kayak capsizes near Snead Island,"Sign in using you account with: {* loginWidget *}

Sign in using your wftv profile

Welcome back. Please sign in

Why are we asking this?

By submitting your registration information, you agree to our Terms of Service and Privacy Policy .

Already have an account?

We have sent a confirmation email to {* data_emailAddress *}. Please check your email and click on the link to activate your account.

Thank you for registering!

Thank you for registering!

We look forward to seeing you on [website] frequently. Visit us and sign in to update your profile, receive the latest news and keep up to date with mobile alerts.

Click here to return to the page you were visiting.",https://www.wftv.com/news/florida/3-year-old-florida-boy-dies-after-kayak-capsizes-near-snead-island/944804689,2019-04-30T14:10:31Z,WFTV,Couple,"490 E South St, Orlando, FL 32801, USA",FL,32801
16,45,Missing child alert issued for 3-year-old Florida boy,"TAMPA, Fla. - A Missing Child Alert has been issued for a 3-year-old Florida boy last seen Wednesday in the Tampa area.

Joshua McAdams is thought to be with his father, also named Joshua, and Taylor Bland-Ball. The boy was last seen on April 24 in the area of the 12000th block of Bruce B. Downs Boulevard.

Police are warning others to not approach the couple if they're seen.

McAdams and Bland-Ball are thought to be traveling in a 2016, silver Mazda CX-5 with Florida license tag DERX82.

Anyone with information on their whereabouts are urged to call the FDLE at 1-888-356-4774 or the Hillsborough County Sheriff's Office at 813-247-8000.

Copyright 2019 by WPLG Local10.com - All rights reserved.",https://www.local10.com/news/florida/missing-child-alert-issued-for-3-year-old-florida-boy,2019-04-29T21:23:25Z,WPLG,Couple,"3401 W Hallandale Beach Blvd, Pembroke Park, FL 33023, USA",FL,33023
17,48,3-year-old Florida boy in need of 'lifesaving medical care' missing,"An urgent search is underway for a 3-year-old Florida boy who deputies believe is missing and endangered.Hillsborough County deputies said the parents of 3-year-old Joshua Mcadams failed to bring him to a medically-necessary hospital procedure last Monday. In the days that followed deputies said parents refused to follow up with the medical care Joshua needs. Deputies described the treatment the boy needs as ""lifesaving medical care."" Deputies said the boy could be with his parents, 28-year-old Joshua Mcadams and 22-year-old Taylor Bland-Ball. The boy's father could be armed, the sheriff's office said.Detectives believe the parents could be taking the boy to Kentucky. They are believed to be traveling in a silver 2016 Mazda CX-5 with Florida tag DERX82. Anyone driving the Interstate 75 or Interstate 95 corridor is being asked to look out for the boy, his parents or the car. If anyone has information, they are asked to call (813) 247-8200 or 911.

An urgent search is underway for a 3-year-old Florida boy who deputies believe is missing and endangered.

Hillsborough County deputies said the parents of 3-year-old Joshua Mcadams failed to bring him to a medically-necessary hospital procedure last Monday.

Advertisement

In the days that followed deputies said parents refused to follow up with the medical care Joshua needs. Deputies described the treatment the boy needs as ""lifesaving medical care.""

Deputies said the boy could be with his parents, 28-year-old Joshua Mcadams and 22-year-old Taylor Bland-Ball.

The boy's father could be armed, the sheriff's office said.

Detectives believe the parents could be taking the boy to Kentucky. They are believed to be traveling in a silver 2016 Mazda CX-5 with Florida tag DERX82.

Anyone driving the Interstate 75 or Interstate 95 corridor is being asked to look out for the boy, his parents or the car. If anyone has information, they are asked to call (813) 247-8200 or 911.

AlertMe",https://www.wesh.com/article/3-year-old-florida-boy-in-need-of-lifesaving-medical-care-missing/27310092,2019-04-29T18:19:00Z,WESH-TV,Couple,"1021 Wymore Rd, Winter Park, FL 32789, USA",FL,32789
209,349,"Florida boy donates bone marrow to siblings, saving their lives",,https://www.wfla.com/video/florida-boy-donates-bone-marrow-to-siblings-saving-their-lives_20190408014353/1906917388,2019-04-08T01:44:10Z,WFLA,Couple,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
283,473,"14-year-old Florida boy killed, 2 teens charged with murder","Copyright 2019 Nexstar Broadcasting, Inc. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed.

LEHIGH ACRES, Fla. (AP) - Deputies say an arrangement between three Florida teens to buy a tactical vest ended with a 14-year-old boy dead and two charged with murder.

Lee County Sheriff's officials say the three teens met Saturday and that J'Martin Hixon had planned to buy the vest he'd seen on an online sale site. During their meet-up, one of the teen sellers shot Hixon. The News-Press reports Hixon also fired back and struck one of the boys.

A 15-year-old boy and a 16-year-old boy were charged with conspiracy to commit robbery, robbery with firearm and murder while engaged in certain felony offense. One of the teens was taken to the hospital with a non-life threatening gunshot wound.

A third male with the two was also in the area, but the sheriff's office didn't release any details about his possible role.",http://www.wfla.com/news/florida/14-year-old-florida-boy-killed-2-teens-charged-with-murder/1893235018,2019-04-01T22:06:13Z,WFLA,Couple,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
