,Unnamed: 0,Title,Summary,Link,Time,Source,Category,Address,State,Zip
2,2,"Florida girl screams, runs for help as car follows her home","ORANGE COUNTY, Fla. (WESH)— An emotional mother shared the details of a frightening moment involving her child.

She said her middle school daughter was followed home from school on Thursday and approached by a man in a car with a camera.

That student and her family spoke exclusively with WESH 2's Kelsi Thorud about what they said was a situation that could have ended much differently.

""It's just shocking because if I didn't do (anything), if I didn't run or anything, he probably would have gotten out of the car and probably grabbed me,"" the young girl said.

The sixth-grade student, who does not wish to be identified by WESH 2 News, said she was walking home from Freedom Middle School Thursday afternoon when she noticed a man in a black car.

""He's like, old looking, and he has a camera in his hand and he's smiling at me and telling, with his finger, telling me to come here,"" she said.

The girl said she immediately felt uncomfortable, so she started running.

""I run and he's still following me, and when he's still following me, I'm about over there, and I'm running and crying and screaming, 'Help me,' so someone could come and stuff,"" the child said.

Part of it was caught on surveillance video from the apartment complex the girl lives in.

In the video, the child is seen running to the gate, and a black car is seen pulling in right behind her.

""I could sense my daughter was scared by the way she was running. I've never seen her run like that before,"" the girl's mother said.

The girl's mother said she truly believes the man in the car wanted to take her daughter.

""It's a parent's worst nightmare to see something like that, and to know that there's people out there watching children like that, to try to take them or do whatever they want to do with them,"" she said.

The family said they've filed a police report and now they just want to warn parents in the area.

""Talk to your kids. Let them know stuff like this can happen. You may not think it can or will, but it does happen,"" the child's mother said.

The Orange County Sheriff's Office says it is investigating this incident.",https://www.wfla.com/news/florida/florida-girl-screams-runs-for-help-as-car-follows-her-home/1996636840,2019-05-11T20:31:52Z,WFLA,Couple,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
36,59,12-year-old Florida girl hopes to save lives with car seat invention,"UMATILLA — A Umatilla Middle School student who won first place at the state science fair in March is now pursuing a patent for her life-saving technology.

Seventh-grader Alexandra “Lexie” Clow won $750 in prize money after her project, called the pediatric heat stroke prevention device, earned her a spot in the international BroadCom competition in Washington D.C. She’s also won awards at the Lockheed Martin Science Challenge in Orlando, netting her an additional $400.

“I haven’t spent a cent of the money I’ve won,” Lexie said. “I want to put it all toward the patent.”

The patent would protect the core mechanics of her device, a car seat designed to alert people when a baby has been left in a hot car, as she continues to promote and develop it.

Lexie and her family decided a couple months ago to pursue the patent as she prepared to go to the state science fair for her second year of competition.

“We thought, hey, let’s help her get a patent on this,” father Rick Clow said. “It’s not really a big deal.”

As they came to find out, it was a bigger deal than they expected.

You might think the patent process is inexpensive and simple, but Rick Clow said the U.S. Patent Office has become the domain of lawyers more than the average person.

Companies have lawyers to handle the process, but individuals have to seek out specialized attorneys.

In the meantime, the family has registered Lexie's project as patent pending, which Clow said was a simple and accessible first step.

To get the rest of the way, the family has started a GoFundMe campaign describing the project and asking for $15,000 to navigate the patent process.

Currently, the GoFundMe is sitting at $1,410. One $100 donation came from the Lake County Sheriff’s Office, which also gave Lexie a signal boost for her project after she won the science fair.

Lexie hopes to secure the patent prior to the international science fair in October, where it will go before an international audience.

She also wants the patent so she can take the device to the next level of development. Currently, the device works with a mostly wired system and a few radio frequency transmitters.

It's an independently powered car seat that gets hooked into a car's electronics in order to turn on the lights and honk the horn when it detects the weight of a baby and heat around 104 degrees Fahrenheit. It activates cooling fans to increase a baby's chances of surviving, and the seat also has bright blue LEDs on the side to draw the eye straight toward the seat.

Lexie said she hopes it can be developed as an accessory to smarter cars, with an app to alert parents who are walking away from their car without their child because, yes, it happens.

Ideally, it would even be a part of the car, rather than a standalone seat, she said.

Lexie said her goal was to keep the technology affordable. She used cheap, easily accessible components so it could be replicated for just a few hundred dollars.

""I want to fix something that's a problem locally for us,"" Lexie said. When she found out Florida had the second most pediatric heat stroke deaths in the U.S., she decided it was a preventable problem and she wanted to solve it.

58 children died of heat stroke in 2018, she said, one of which occurred in Sanford. Lexie thinks she can help lower that number.

Help Lexie on her journey for a patent!

This story originally published to dailycommercial.com, and was shared to other Florida newspapers in the GateHouse Media network.



",https://www.chipleypaper.com/news/20190426/12-year-old-florida-girl-hopes-to-save-lives-with-car-seat-invention?rssfeed=true,2019-05-02T12:05:51Z,Washington County News/Holmes County Times,Couple,"1364 N Railroad Ave, Chipley, FL 32428, USA",FL,32428
41,68,Florida girl battling cancer gets tattoos ‘like daddy’,"TAMPA, Fla. – A Tampa tattoo parlor made one little girl’s day, decking out her arms and legs with marker tattoos so she could look like her father, WFLA reported.

Three-year-old Trinity was diagnosed with neuroblastoma last year; she also has Homer’s syndrome and Harliquine syndrome, leaving her a veteran of the operating room and chemotherapy care.

According to WFLA, Trinity loves her father’s tattoos, so her mother called Ink Wolves and made a special request: temporary tattoos for a little girl with a lot of fight in her.

Employees came in on their day off and tatted Trinity with Disney characters and fun designs on her arms and legs, WFLA said.

Trinity’s mother said her daughter had “the BEST day” at the parlor.",http://www.sflcw.com/2019/04/29/florida-girl-battling-cancer-gets-tattoos-like-daddy/,2019-04-29T16:40:25Z,SFLcw,Couple,"500 E Broward Blvd #800, Fort Lauderdale, FL 33394, USA",FL,33394
61,96,Florida girl who requires an extremely rare blood type to survive undergoes major milestone,"- A Florida girl who requires an extremely rare blood type to survive has completed a potentially life-changing surgery.

OneBlood reported on Wednesday that three-year-old Zainab Mughal has completed the most complicated and exhausting part of her cancer treatment. On Monday, she underwent her second bone marrow transplant and received multiple blood transfusions.

It will still reportedly be several months before it is known if Zainab's cancer has been put into remission, but her doctors told OneBlood that she is a ""superhero"" and that they believe she is on the road to recovery.

Zainab still needs additional treatments, OneBlood said in their press release. It is likely that she will need additional blood transfusions as she enters the next phase of her treamtment.

To be a match for Zainab, OneBlood says the following must be met:

Must be exclusively Pakistani, Indian or Iranian descent – meaning the donor’s birth parents are both 100% Pakistani, Indian or Iranian

Must be blood type “O” or “A”

All donations for Zainab must be coordinated with OneBlood in advance to ensure the additional compatibility testing is performed.

OneBlood has found only five compatible donors for Zainab so far. Two are from the United States, two from the United Kingdom, and one from Australia. The five donors have consistently donated each time that they are eligible. They have played a significant role in saving Zainab's life.

If you believe you can be a match or save this little girl’s life, head to OneBlood’s web page dedicated the search for Zainab’s rare blood type.",http://www.fox35orlando.com/fast-five/florida-girl-who-requires-an-extremely-rare-blood-type-to-survive-undergoes-major-milestone,2019-04-25T02:09:11Z,FOX 35 ORLANDO,Couple,"35 Skyline Dr, Lake Mary, FL 32746, USA",FL,32746
62,98,South Florida Girl Battling Cancer Gets Good News,"<img width=""150"" height=""84"" src=""https://cbsmiami.files.wordpress.com/2018/12/zainab_2.jpg?w=150"" class=""attachment-thumbnail size-thumbnail wp-post-image"" alt="""" srcset=""https://cbsmiami.files.wordpress.com/2018/12/zainab_2.jpg?w=150 150w, https://cbsmiami.files.wordpress.com/2018/12/zainab_2.jpg?w=300 300w"" sizes=""(max-width: 150px) 100vw, 150px"" />Good news for a South Florida child battling cancer.",https://miami.cbslocal.com/2019/04/23/south-florida-girl-battling-cancer-gets-good-news/,2019-04-24T03:34:42Z,CBS Miami,Couple,"8900 NW 18th Terrace, Doral, FL 33172, USA",FL,33172
79,122,"Storm topples tree, kills 8-year-old Florida girl","File photo. Storms cause damage in the South.

WOODVILLE, Fla. - A storm system moving through the South is being blamed for the death of an 8-year-old girl in Florida.

The Leon County Sheriff's Office said a tree fell Friday into a house in Woodville, south of Tallahassee, killing the girl and injuring a 12-year-old boy.

The office said in a statement that the girl died at the hospital while the boy has non-life-threatening injuries. Their names weren't immediately released.

Much of Florida was being hit Friday by strong storms that were also creating a threat of tornadoes in parts of the Carolinas and Virginia.

Most of Central Florida was under a weather warning, including a tornado watch, due to the system.

As of early Friday afternoon, no serious reports of damage had been reported.

[MORE: ClickOrlando.com weather page, radar, forecast, more]

Watch News 6 for weather updates.

Copyright 2019 by WKMG ClickOrlando - All rights reserved.",https://www.clickorlando.com/weather/storm-topples-tree-kills-8-year-old-florida-girl,2019-04-19T19:17:32Z,WKMG,Couple,"4466 N John Young Pkwy, Orlando, FL 32804, USA",FL,32804
81,124,Florida girl killed when tree falls on home during storm,"LEON COUNTY, Fla. (WFLA) - An 8-year-old girl was killed and a 12-year-old boy was injured when a tree toppled onto a home in Woodville Friday morning as severe weather moved through the area.

The Leon County Sheriff's Office responded to a home on Old Woodville Highway at about 8 a.m.

The girl was rushed to the hospital, where she was pronounced deceased. The boy was also taken to the hospital, but his injuries are said to be non-life-threatening. He is now with family, according to the sheriff's office.

Victim advocates are assisting the family, which is asking for privacy.

Storm Team 8 will keep you updated throughout the day on air and online as severe weather moves into the area.

>> LATEST STORM TEAM 8 FORECAST

>> SEVERE WEATHER CANCELLATIONS

>> CURRENT WEATHER ALERTS

>> INTERACTIVE RADAR

>> DOWNLOAD MAX DEFENDER 8 WEATHER APP",http://www.wfla.com/news/florida/florida-girl-killed-when-tree-falls-on-home-during-storm/1938942783,2019-04-19T16:54:02Z,WFLA,Couple,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
98,149,8-year-old Florida girl dies after tree falls through house during Friday's storms,"Related Headlines Severe storms expected Friday in Central Florida

- The Leon County Sheriff's Office reports that an 8-year-old girl has died after a tree fell through a house during Friday's storms.

It reportedly happened just after 8 a.m. on Old Woodville Highway.

This morning's storm resulted in an eight year old's death. Our thoughts and prayers are with the family during this time. pic.twitter.com/u5FedH4niL — Leon Co Sheriff, Fl (@LeonSheriff) April 19, 2019







According to the Leon County Sheriff's Office, the girl and a 12-year-old boy were taken to the hospital for injuries.

The girl was pronounced dead at the hospital. The boy is expected to be OK and he is home with his family.",http://www.fox35orlando.com/news/local-news/8-year-old-florida-girl-dies-after-tree-falls-through-house-during-friday-s-storms,2019-04-19T16:06:32Z,FOX 35 ORLANDO,Couple,"35 Skyline Dr, Lake Mary, FL 32746, USA",FL,32746
120,174,10-year-old Florida girl is attacked by shark on her birthday,"A little girl experienced a shark attack in Florida and walked away with 40 stitches. Her parents say she is ready to get back to the beach and swim in the ocean.

When a 10-year-old was swimming in the ocean at Crescent Beach near Daytona, her parents thought she might’ve been stung by a jellyfish. But she was actually attacked by a shark, News4Jax reported.

According to the report, Peyton Shields shoved the shark when it bit both her legs. It then got a hold of her arm and bit her there. As she continued shoving, the shark swam away.

Her father was surprised the attack occurred.

""My daughter got bitten by a shark. It's, like, I don't know anybody who has been bitten by a shark. Lucky Peyton."" Steve Shields, Peyton's father, told News4Jax.

Both of Peyton’s parents put pressure on the bite wounds and called 911. Soon after, she was taken to Flagler Hospital. She left the hospital with 40 stitches and continued celebrating her birthday a few days later.

Peyton Shields is already looking forward to her next beach trip. “The shark’s gone. I’m ready to get back in,” Peyton told her father. Steve Sheilds says his daughter is brave.

""We live in Florida. There’s sharks. There’s alligators. We’re going to go swim in the lake. We’re going to swim in the ocean. It is what it is,” Steve said.

Read more here.

GateHouse Media Group's Florida content team is based in West Palm Beach, Fla. GateHouse Florida stories, which run across digital, print and video platforms, are syndicated across 22 Florida newspaper markets.",https://www.dailycommercial.com/news/20190419/10-year-old-florida-girl-is-attacked-by-shark-on-her-birthday?rssfeed=true,2019-04-19T10:21:00Z,Daily Commercial,Couple,"212 E Main St, Leesburg, FL 34748, USA",FL,34748
137,197,"Florida girl, 8, killed after tree falls on house, investigators say","Sign in using you account with: {* loginWidget *}

Sign in using your wjax profile

Welcome back. Please sign in

Why are we asking this?

By submitting your registration information, you agree to our Terms of Service and Privacy Policy .

Already have an account?

We have sent a confirmation email to {* data_emailAddress *}. Please check your email and click on the link to activate your account.

Thank you for registering!

Thank you for registering!

We look forward to seeing you on [website] frequently. Visit us and sign in to update your profile, receive the latest news and keep up to date with mobile alerts.

Click here to return to the page you were visiting.",https://www.actionnewsjax.com/news/trending-now/girl-8-killed-after-tree-falls-on-house-investigators-say/941709196,2019-04-19T17:38:01Z,WJAX,Couple,"11700 Central Pkwy #2, Jacksonville, FL 32224, USA",FL,32224
