,Unnamed: 0,Title,Summary,Link,Time,Source,Category,Address,State,Zip
0,3,Florida Man Kills Wife Because She Was Speaking Disrespectfully,"<img width=""150"" height=""84"" src=""https://cbsmiami.files.wordpress.com/2019/05/18-vo-plantation-man-k_wfor0pgj.jpg?w=150"" class=""attachment-thumbnail size-thumbnail wp-post-image"" alt="""" srcset=""https://cbsmiami.files.wordpress.com/2019/05/18-vo-plantation-man-k_wfor0pgj.jpg?w=150 150w, https://cbsmiami.files.wordpress.com/2019/05/18-vo-plantation-man-k_wfor0pgj.jpg?w=300 300w"" sizes=""(max-width: 150px) 100vw, 150px"" /> Police in Florida say a man told them he fatally shot his wife because she was talking to him disrespectfully.",https://miami.cbslocal.com/2019/05/12/florida-man-kills-wife-speaking-disrespectfully/,2019-05-12T16:11:33Z,CBS Miami,Florida Man,"8900 NW 18th Terrace, Doral, FL 33172, USA",FL,33172
1,5,"Florida Man Shoots Raccoon Off Boat, FWC Investigating","<img width=""150"" height=""103"" src=""https://cbsmiami.files.wordpress.com/2019/01/gun-pointed-to-side.jpg?w=150"" class=""attachment-thumbnail size-thumbnail wp-post-image"" alt="""" srcset=""https://cbsmiami.files.wordpress.com/2019/01/gun-pointed-to-side.jpg?w=150 150w, https://cbsmiami.files.wordpress.com/2019/01/gun-pointed-to-side.jpg?w=300 300w"" sizes=""(max-width: 150px) 100vw, 150px"" />A Florida attorney could be facing charges after posting a video on social media showing him kill an animal.",https://miami.cbslocal.com/2019/05/12/florida-man-shoots-raccoon-off-boat/,2019-05-12T15:15:36Z,CBS Miami,Florida Man,"8900 NW 18th Terrace, Doral, FL 33172, USA",FL,33172
2,6,Tall grass fines lead city to foreclose on Florida man's home,"Sign in using you account with: {* loginWidget *}

Sign in using your wftv profile

Welcome back. Please sign in

Why are we asking this?

By submitting your registration information, you agree to our Terms of Service and Privacy Policy .

Already have an account?

We have sent a confirmation email to {* data_emailAddress *}. Please check your email and click on the link to activate your account.

Thank you for registering!

Thank you for registering!

We look forward to seeing you on [website] frequently. Visit us and sign in to update your profile, receive the latest news and keep up to date with mobile alerts.

Click here to return to the page you were visiting.",https://www.wftv.com/news/florida/tall-grass-fines-lead-city-to-foreclose-on-florida-man-s-home/948607144,2019-05-12T15:01:11Z,WFTV,Florida Man,"490 E South St, Orlando, FL 32801, USA",FL,32801
3,7,"Florida Man Speeds Down Highway While Standing Out Of Sunroof, Says He’d Rather Go To Jail Than Home To His Wife","<img width=""150"" height=""84"" src=""https://cbsmiami.files.wordpress.com/2019/05/a-tz1-vo-sunroof-drive_wfor0pr5_1.jpg?w=150"" class=""attachment-thumbnail size-thumbnail wp-post-image"" alt="""" srcset=""https://cbsmiami.files.wordpress.com/2019/05/a-tz1-vo-sunroof-drive_wfor0pr5_1.jpg?w=150 150w, https://cbsmiami.files.wordpress.com/2019/05/a-tz1-vo-sunroof-drive_wfor0pr5_1.jpg?w=300 300w"" sizes=""(max-width: 150px) 100vw, 150px"" />A Florida man decided he wanted to drive his car on a busy
expressway while standing through his sunroof.",https://miami.cbslocal.com/2019/05/12/florida-man-highway-standing-out-sunroof/,2019-05-12T14:01:15Z,CBS Miami,Florida Man,"8900 NW 18th Terrace, Doral, FL 33172, USA",FL,33172
4,8,Police: Florida man says he shot wife over 'disrespect',"PLANTATION, Fla. - A 73-year-old man shot his wife in the face this week inside their Plantation home, then walked to a neighbor's house and confessed that he'd killed her, authorities said.

Plantation police investigators said Fernando De Baere told them he shot Marisa Sherman, 47, because she wouldn't stop speaking disrespectfully.

Plantation police said De Baere shot her in the face, returned his .38-caliber handgun to a bedroom and then walked to a neighbor’s house to confess. The neighbor called 911.

Police said De Baere admitted to shooting his wife ""one or two times"" in the face while standing about 3 feet away from her.

De Baere was charged with murder and jailed without bond Saturday. Records did not show if he has an attorney.

Police say De Baere told them he shot his wife because he did not like the way she was talking to him during an argument. A police report says De Baere told officers exactly where to find the weapon.

Copyright 2019 by WPLG Local10.com. The Associated Press contributed to this report. All rights reserved. This material may not be published, broadcast, rewritten or redistributed.",https://www.news4jax.com/news/police-florida-man-says-he-shot-wife-over-disrespect,2019-05-12T11:53:34Z,WJXT,Florida Man,"4 Broadcast Pl, Jacksonville, FL 32207, USA",FL,32207
5,10,Police: Florida man says he shot wife over her disrespect,,http://weartv.com/news/local/police-florida-man-says-he-shot-wife-over-her-disrespect,2019-05-11T22:11:39Z,WEAR,Florida Man,"4990 Mobile Hwy, Pensacola, FL 32506, USA",FL,32506
8,18,WFLA NOW: Florida man hangs out sunroof on I-4,A Florida man is facing a reckless driving charge after an off-duty deputy caught him hanging out of his sunroof while driving on I-4.,https://www.wfla.com/video/wfla-now-florida-man-hangs-out-sunroof-on-i-4_20190510223851/1995445923,2019-05-10T22:39:10Z,WFLA,Florida Man,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
9,19,"Video captures Florida man standing, resting against sunroof while driving","A Florida man was arrested after being caught sitting on his sunroof of his vehicle while traveling on an interstate. Video captured the moment a man rested against his sunroof with his arms outstretched while traveling down the highway.He was pulled over by authorities on U.S. 98 and Wedgwood Estates Boulevard near Lakewood.When officials asked the man if he was OK, he allegedly replied, ""I don't know about that.""The arrest report said the driver told authorities he wanted to turn himself in because ""my wife treats me like a servant and she's the mistress and I'm tired of this (expletive.)""He then said, ""Lock me up, I'd rather go to jail than go back home,"" the arrest report said.A witness told officials the man was driving recklessly at more than 100 mph before slowing to about 40 mph.According to the arrest report, the man said the vehicle was on cruise control and drives itself.""I thought it would be a nice way to praise God for a minute, and I thought it would be nice at the time, and that's why I did it,"" the man is quoted as saying in the arrest report.He has been charged with reckless driving.

A Florida man was arrested after being caught sitting on his sunroof of his vehicle while traveling on an interstate.

Video captured the moment a man rested against his sunroof with his arms outstretched while traveling down the highway.

Advertisement

He was pulled over by authorities on U.S. 98 and Wedgwood Estates Boulevard near Lakewood.

When officials asked the man if he was OK, he allegedly replied, ""I don't know about that.""

The arrest report said the driver told authorities he wanted to turn himself in because ""my wife treats me like a servant and she's the mistress and I'm tired of this (expletive.)""

He then said, ""Lock me up, I'd rather go to jail than go back home,"" the arrest report said.

A witness told officials the man was driving recklessly at more than 100 mph before slowing to about 40 mph.

According to the arrest report, the man said the vehicle was on cruise control and drives itself.

""I thought it would be a nice way to praise God for a minute, and I thought it would be nice at the time, and that's why I did it,"" the man is quoted as saying in the arrest report.

He has been charged with reckless driving.",https://www.mor-tv.com/article/video-captures-florida-man-resting-against-sunroof-while-driving/27438907,2019-05-10T22:38:00Z,MOR-TV,Florida Man,"7201 E Hillsborough Ave, Tampa, FL 33610, USA",FL,33610
11,23,Florida man gets life for fatally stabbing girlfriend,"- A Florida man has been sentenced to life in prison for fatally stabbing his girlfriend, who was in bed with her young child at the time of the attack.

Court records show that 51-year-old Freddie Harris was sentenced Thursday. He was convicted of second-degree murder, child abuse and aggravated assault on a law enforcement officer.

Authorities say Harris stabbed 39-year-old Chantill Harrison 22 times as she lay in bed at a Fort Myers home in November 2017.

A teenager at the home called 911, and Harris armed himself with a rifle to wait for police. Harris eventually surrendered after a 45-minute standoff.",http://www.fox35orlando.com/home/florida-man-gets-life-for-fatally-stabbing-girlfriend-1,2019-05-10T11:27:22Z,FOX 35 ORLANDO,Florida Man,"35 Skyline Dr, Lake Mary, FL 32746, USA",FL,32746
12,24,'Florida Man' TV series coming to Oxygen Network,"- Florida has a reputation for wacky and weird stories, often committed by the ever-popular ""Florida Man.""

Now the Sunshine State's favorite son is getting even more of a spotlight: his very own TV show.

Oxygen Network announced it will develop a series based on the strange crimes that always seem to happen in Florida.

""When the murder is so bizarre, the motive so far-fetched and the crime so outlandish that it sounds like something from a Hollywood screenplay -- there’s a good chance it was actually committed by a 'Florida Man,'"" the network said in its announcement.

Oxygen said the series is part of its expansion of true crime programming.

Continue reading below

""With access to Florida investigators and prosecutors, this series zeroes in on America’s most notorious, outrageous, craftiest killers from the Sunshine State. The series will unravel the strange twists and turns and try in vain to reason how and why this breed of killers took their crimes to levels beyond comprehension,"" the synopsis said.

The network did not give a premiere date for the series, but said it is in development.

The announcement comes on the heels of the viral ""Florida Man"" challenge that circulated on social media in March, where users Googled the phrase ""Florida Man"" along with their birthday to find out which story happened on the day they were born.

For example, someone with a birthday on November 5th would type ""Florida man November 5"" into Google and get pages of search results with news stories, including this gem: ""Florida man bitten after jumping into crocodile pool at alligator farm.""",http://www.fox13news.com/news/florida-news/-florida-man-tv-series-coming-to-oxygen-network,2019-05-09T20:06:41Z,FOX 13 NEWS,Florida Man,"3213 W Kennedy Blvd, Tampa, FL 33609, USA",FL,33609
14,27,Florida man who stood on sunroof while driving accused of felony domestic violence,"POLK COUNTY, Fla. (WFLA ) - A driver made a lot of people laugh this week when he stood up on his sunroof with his car on cruise control while driving on Interstate 4. But the story behind the story isn't funny at all.

The Polk County Sheriff's Office said 70-year-old Leonard Olsen was arrested not only for driving recklessly, but also for false imprisonment and domestic violence by strangulation.

RELATED: Florida man arrested for hanging out sunroof while driving on I-4

According to an arrest report, Olsen is accused of choking a 69-year-old woman on April 30 after she took too long to come to bed. The woman told deputies she had bruises on her throat and a hoarse voice.

Days later, after the woman came home from dinner, he allegedly ripped up the dress she had been wearing, accused her of having an affair and called her a vulgar name. Then he asked her for one of her bras and threatened to destroy every bra in her dresser. When she eventually gave him a bra, he tore it apart and demanded that she give him the pair of underwear she had been wearing. When she told him she was still wearing the underwear, he began ""pulling on the underwear causing the victim's body to shake back and forth until the underwear came loose from the victim's body,"" an arrest report states.

Once he was through destroying all of her clothing, Olsen began blaring music so she couldn't fall asleep. This lasted several hours, according to the victim.

The next day, the victim awoke to Olsen slamming dresser drawers, turning the lights on and off, and blaring music. Deputies said he pushed her onto their bed, straddled her and put his hand on her throat, then placed his thumb on her mouth, which she bit. Olsen got off of her and blocked the doorway to prevent her from leaving the room. After a few minutes, he let her pass through the doorway and she called 911.

The Polk County Sheriff's Office said detectives made contact with Olsen by phone on Tuesday and he agreed to turn himself in.

As deputies were on their way to meet him, they learned he had been pulled over by the Florida Highway Patrol for driving recklessly.

Olsen was arrested and booked into the South County Jail, where he faces three counts of felony domestic battery on a person 65 or older, one count of felony false imprisonment and one count of felony domestic battery by strangulation.",http://www.wfla.com/news/polk-county/lakeland-man-who-stood-on-sunroof-while-driving-accused-of-felony-domestic-violence/1997065259,2019-05-12T03:59:05Z,WFLA,Florida Man,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
16,31,Florida man stands through sunroof while driving down I-4,"- A Florida man has been charged with reckless driving after he was spotted standing through an opened sunroof of a moving vehicle, as it was traveling down Interstate 4.

The incident, which happened in Polk County, was captured on video by an off-duty sheriff's deputy. That witness notified authorities to be on the lookout for a white Cadillac.

A trooper with the Florida Highway Patrol spotted the Cadillac on U.S. Highway 98 and conducted a traffic stop. The driver, identified as 70-year-old Leonard Olsen, Jr., of Lakeland, was taken into custody after admitting it was him standing through the sunroof of his vehicle while the cruise control was activated.

In a report, FHP Trooper Ricky Binet wrote, ""Mr. Olsen stated that he wanted to turn himself in to an 'official' and asked if he could turn himself in to me. When asked 'Why do you want to do that?' Mr. Olsen stated 'My wife treats me like a servant and she's the mistress and I'm tired of this [explitive].'""

The report goes on to state that Olsen told the trooper, ""Lock me up, I'd rather go to jail [than] go back home.'""

This story was written out of Lake Mary, Florida.",http://www.fox35orlando.com/news/local-news/florida-man-stands-through-sunroof-while-driving-down-i-4,2019-05-11T00:57:18Z,FOX 35 ORLANDO,Florida Man,"35 Skyline Dr, Lake Mary, FL 32746, USA",FL,32746
