,Unnamed: 0,Title,Summary,Link,Time,Source,Category,Address,State,Zip
1,9,"Nassau County, Florida woman visiting inmate in jail gets arrested","Sign in using you account with: {* loginWidget *}

Sign in using your wjax profile

Welcome back. Please sign in

Why are we asking this?

By submitting your registration information, you agree to our Terms of Service and Privacy Policy .

Already have an account?

We have sent a confirmation email to {* data_emailAddress *}. Please check your email and click on the link to activate your account.

Thank you for registering!

Thank you for registering!

We look forward to seeing you on [website] frequently. Visit us and sign in to update your profile, receive the latest news and keep up to date with mobile alerts.

Click here to return to the page you were visiting.",https://www.actionnewsjax.com/news/local/nassau-county-woman-visiting-inmate-in-jail-gets-arrested/948219896,2019-05-10T15:17:44Z,WJAX,Florida Woman,"11700 Central Pkwy #2, Jacksonville, FL 32224, USA",FL,32224
2,11,Florida woman arrested after hundreds of bugs crawl out of child's backpack,"- A Florida woman has been arrested after a child in her care showed up to school in dirty clothes and a backpack filled with ""hundreds"" of bugs, deputies said.

Jessica Nicole Stevenson, 33, was arrested and charged with five felony counts of child neglect without great bodily harm.

According to the Orlando Sentinel, the girl, along with her five siblings, were living in a Milton home that was infested with roaches, no food, bags of trash around the home, soiled mattresses on the floor and piles of cat feces around the house.

Staff at Bagdad Elementary School took notice of the second-graders clothes, which were said to be caked with filth. The girl reportedly told authorities that she didn't know when her last bath or shower had been.

Stevenson posted bond and was released the day after her arrest.",http://www.fox35orlando.com/news/local-news/florida-woman-arrested-after-hundreds-of-bugs-crawl-out-of-child-s-backpack,2019-05-10T14:17:40Z,FOX 35 ORLANDO,Florida Woman,"35 Skyline Dr, Lake Mary, FL 32746, USA",FL,32746
3,14,"Florida woman put newborn baby in bag, tossed her in trash, deputies say","BOCA RATON, Fla. - A 35-year-old Florida woman confessed to putting her newborn baby girl in a plastic bag and throwing her into a trash bin outside an apartment complex near Boca Raton, according to detectives.

Palm Beach County sheriff's spokeswoman Therese Barbera said in a news release that Rafaelle Alessandra Carbalho Sousa was arrested late Thursday and will appear in court Friday. She's charged with attempted felony murder and child abuse.

Officials said two people heard the baby crying and found her in the trash bin Wednesday. She was taken to a hospital and is expected to be fine.

Investigators haven't said what led them to Sousa.

Under Florida law, newborns can be dropped off anonymously at a hospital or fire station with no questions asked.



Copyright 2019 by WKMG ClickOrlando - All rights reserved.",https://www.clickorlando.com/news/florida-woman-put-baby-in-bag-tossed-her-in-trash-deputies-say,2019-05-10T11:55:24Z,WKMG,Florida Woman,"4466 N John Young Pkwy, Orlando, FL 32804, USA",FL,32804
5,16,"Florida woman arrested after hundreds of bugs crawl out of child’s backpack, report says","A Florida woman was arrested after a second-grader in her care repeatedly showed up to school in clothes caked in filth and a backpack filled with ""hundreds"" of bugs, deputies in the Panhandle said.

A Florida woman was arrested after a second-grader in her care repeatedly showed up to school in clothes caked in filth and a backpack filled with ""hundreds"" of bugs, deputies in the Panhandle said.

The girl is one of five siblings ages 5 to 14 who lived in a ""filthy"" Milton home infested with roaches, soiled mattresses on the floor, piles of cat feces, no edible food, broken windows, and bags of trash throughout the home and yard, according to a Santa Rosa County Sheriff’s Office report.

Jessica Nicole Stevenson, 33, was arrested May 3 and charged with five felony counts of child neglect without great bodily harm.

Deputies said Stevenson's bedroom was ""abnormally"" clean compared with the condition of the rest of the home, with a flat-screen TV and bed linens. In contrast to the children's closets, hers was filled with clean clothes, according to the report.

The children's living conditions came to the attention of staff at Bagdad Elementary school, which three of the siblings attend, the probable cause affidavit said.

The second-grader told authorities she didn't know when her last bath or shower had been. School staffers said they'd repeatedly given the girl clean clothing to wear but that the child kept showing up dressed in the same outfits several days in a row as they became dirtier and dirtier.

A Florida Department of Children and Families report about the three siblings who attended the elementary school led to the sheriff’s office launching an investigation April 18, the Pensacola News Journal reported.

The newspaper reported that Stevenson made bond and was released May 4, the day after her arrest.

A DCF spokesman could not release information on the children’s current whereabouts.",https://www.theledger.com/news/20190510/florida-woman-arrested-after-hundreds-of-bugs-crawl-out-of-childs-backpack-report-says?rssfeed=true,2019-05-10T09:47:57Z,The Ledger,Florida Woman,"300 W Lime St, Lakeland, FL 33815, USA",FL,33815
6,17,Florida Woman Detained After Newborn Girl Found Alive In Trash Bin,"<img width=""150"" height=""84"" src=""https://cbsmiami.files.wordpress.com/2019/05/chopper-boca-baby-in-dumpster.jpg?w=150"" class=""attachment-thumbnail size-thumbnail wp-post-image"" alt=""Baby found near Boca dumpster"" srcset=""https://cbsmiami.files.wordpress.com/2019/05/chopper-boca-baby-in-dumpster.jpg?w=150 150w, https://cbsmiami.files.wordpress.com/2019/05/chopper-boca-baby-in-dumpster.jpg?w=300 300w"" sizes=""(max-width: 150px) 100vw, 150px"" />A new development in the case of a newborn baby that was found seemingly discarded.",https://miami.cbslocal.com/2019/05/09/florida-woman-detained-newborn-baby-found-trash/,2019-05-10T02:08:38Z,CBS Miami,Florida Woman,"8900 NW 18th Terrace, Doral, FL 33172, USA",FL,33172
7,18,Florida woman arrested after hundreds of bugs crawl out of child’s backpack,"ORLANDO — A Florida woman was arrested after a second-grader in her care repeatedly showed up to school in clothes caked in filth and a backpack filled with “hundreds” of bugs, deputies in the Panhandle said.

The girl is one of five siblings ages 5 to 14 who lived in a “filthy” Milton home infested with roaches, soiled mattresses on the floor, piles of cat feces, no edible food, broken windows and bags of trash throughout the home and yard, according to a Santa Rosa County Sheriff’s Office report.

Jessica Nicole Stevenson, 33, was arrested Friday and charged with five felony counts of child neglect without great bodily harm.

Deputies said Stevenson’s bedroom was “abnormally” clean compared with the condition of the rest of the home, with a flat-screen TV and bed linens. In contrast to the children’s closets, hers was filled with clean clothes, according to the report.

The children’s living conditions came to the attention of staff at Bagdad Elementary school, which three of the siblings attend, the probable cause affidavit said.

The second-grader told authorities she didn’t know when her last bath or shower had been. School staffers said they had repeatedly given the girl clean clothing to wear but that the child kept showing up dressed in the same outfits several days in a row as they became dirtier and dirtier.

A Florida Department of Children and Families report about the three siblings who attended the elementary school led to the sheriff’s office launching an investigation April 18, the Pensacola News Journal reported.

The newspaper reported that Stevenson made bond the day after her arrest and was released Saturday, the day after her arrest.

A DCF spokesman could not release information on the children’s current whereabouts.",https://www.news-journalonline.com/news/20190509/florida-woman-arrested-after-hundreds-of-bugs-crawl-out-of-childs-backpack?rssfeed=true,2019-05-09T18:45:51Z,Daytona Beach News,Florida Woman,"901 6th St, Daytona Beach, FL 32117, USA",FL,32117
11,33,MISSING FLORIDA WOMAN: Clay deputies seeking missing woman with mental capacity of 6-year-old,"Sign in using you account with: {* loginWidget *}

Sign in using your wjax profile

Welcome back. Please sign in

Why are we asking this?

By submitting your registration information, you agree to our Terms of Service and Privacy Policy .

Already have an account?

We have sent a confirmation email to {* data_emailAddress *}. Please check your email and click on the link to activate your account.

Thank you for registering!

Thank you for registering!

We look forward to seeing you on [website] frequently. Visit us and sign in to update your profile, receive the latest news and keep up to date with mobile alerts.

Click here to return to the page you were visiting.",https://www.actionnewsjax.com/news/local/clay-deputies-seeking-missing-woman-with-mental-capacity-of-6-year-old/947341972,2019-05-07T21:55:03Z,WJAX,Florida Woman,"11700 Central Pkwy #2, Jacksonville, FL 32224, USA",FL,32224
13,38,Florida Woman Pulled Live Gator From Yoga Pants During Traffic Stop,"<img width=""150"" height=""84"" src=""https://cbsmiami.files.wordpress.com/2019/05/alligator.jpg?w=150"" class=""attachment-thumbnail size-thumbnail wp-post-image"" alt="""" srcset=""https://cbsmiami.files.wordpress.com/2019/05/alligator.jpg?w=150 150w, https://cbsmiami.files.wordpress.com/2019/05/alligator.jpg?w=300 300w"" sizes=""(max-width: 150px) 100vw, 150px"" />What started as a routine traffic stop ended up being one of those 'only in Florida' stories.",https://miami.cbslocal.com/2019/05/07/florida-woman-gator-yoga-pants/,2019-05-07T13:05:50Z,CBS Miami,Florida Woman,"8900 NW 18th Terrace, Doral, FL 33172, USA",FL,33172
14,41,Florida woman pulls gator from pants during traffic stop,"""Not to be outdone by #FloridaMan, a #FloridaWoman pulled an alligator out of her pants,"" The Charlotte County Sheriff's Office tweeted.

PUNTA GORDA — Sheriff's officials say a Florida woman pulled a small alligator from her yoga pants during a traffic stop.

The Charlotte County sheriff's deputy stopped a pickup truck Monday afternoon after it ran a stop sign and 22-year-old driver Michael Clemons told him he and his 25-year-old passenger Ariel Machan-Le Quire were collecting frogs and snakes under an overpass. He gave the deputy permission to search bags in the truck.

When the deputy found 41 3-stripe turtles in the woman's backpack, he asked if she had anything else. She pulled the 1-foot alligator from her yoga pants.

Charlotte County Sheriff's officials suggested an explanation on Twitter for the incident: ""Not to be outdone by #FloridaMan, a #FloridaWoman pulled an alligator out of her pants.""

The Florida Fish and Wildlife Commission took over the investigation.",https://www.ocala.com/news/20190507/florida-woman-pulls-gator-from-pants-during-traffic-stop?rssfeed=true,2019-05-07T07:56:24Z,Ocala.com,Florida Woman,"2121 SW 19th Avenue Rd, Ocala, FL 34471, USA",FL,34471
15,43,Florida woman pulls gator out of pants during traffic stop,,http://cbs12.com/news/local/florida-woman-pulls-gator-out-of-pants-during-traffic-stop,2019-05-07T00:57:17Z,WPEC,Florida Woman,"1100 Fairfield Dr, West Palm Beach, FL 33407, USA",FL,33407
