,Title,Summary,Link,Time,Section,Subsection,Category,State
0,Democrats Ask F.B.I. to Investigate Florida Woman Suspected of Selling Access to Trump,"The Democrats said that reports about Cindy Yang raised “serious counterintelligence concerns” about access to Mr. Trump’s Florida estate, as well as about campaign finance violations.",https://www.nytimes.com/2019/03/18/us/politics/cindy-yang-trump.html,2019-03-18T17:07:31+0000,U.S.,U.S.,Florida Woman,National
6,Florida Woman Whose ‘Stand Your Ground’ Defense Was Rejected Is Released,"Marissa Alexander, 36, had been convicted of aggravated assault in a 2010 shooting involving her former husband. She has been released from prison and house confinement and has turned to advocacy.",https://www.nytimes.com/2017/02/07/us/marissa-alexander-released-stand-your-ground.html,2017-02-07T19:10:11+0000,U.S.,U.S.,Florida Woman,National
8,Florida Woman Charged in Death of Infant in ‘Co-Sleeping’ Case,Erin Piche-Pitts was charged with aggravated manslaughter of a child after she fell asleep while bottle feeding her infant son and he died.,https://www.nytimes.com/2016/12/21/us/erin-piche-pitts-infant-death.html,2016-12-21T20:33:56+0000,U.S.,U.S.,Florida Woman,National
12,Florida Woman Is Charged With Threatening Sandy Hook Parent,"The belief of Lucy Richards that the school massacre in Newton, Conn., was a hoax motivated her to send threatening messages to the parent of one of the slain children, officials say.",https://www.nytimes.com/2016/12/07/us/florida-woman-is-charged-with-threatening-sandy-hook-parent.html,2016-12-08T00:23:33+0000,U.S.,U.S.,Florida Woman,National
18,Live-Streaming Florida Woman Charged With Drunken Driving,"The woman had invited viewers to watch her bar-hop using the live-streaming app Periscope, then got lost on her drive home, saying she was drunk.",https://www.nytimes.com/2015/10/14/us/live-streaming-florida-woman-charged-with-drunken-driving.html,2015-10-13T16:29:00+0000,U.S.,U.S.,Florida Woman,National
49,"Florida Woman Kills 4 Children and Then Herself, Police Say","Tonya Thomas killed her four children at their home in Port St. John early Tuesday before killing herself, the authorities said.",https://www.nytimes.com/2012/05/16/us/florida-woman-kills-4-children-and-then-herself-police-say.html,2012-05-15T19:19:49+0000,U.S.,U.S.,Florida Woman,National
90,Florida Woman Is Accused Of Abusing Adopted Children,"New York City officials have been drawn into a child abuse and fraud investigation in Florida involving a woman who is believed to have adopted her 11 children from New York City’s foster care system in the mid-1990s, the Administration for Childr...",https://www.nytimes.com/2007/07/31/nyregion/31abuse.html,2007-07-31T04:00:00+0000,New York,New York,Florida Woman,National
151,Florida Woman Is Charged in a Hit-and-Run That Killed 2,"Jennifer Porter is arrested in Tampa, Fla, and charged with leaving scene of accident that killed Bryant Wilkins and Durontae Caldwell and injured Aquina Wilkins and LaJuan Davis, all children of Lisa Wilkins; photo (M)",https://www.nytimes.com/2004/04/29/us/florida-woman-is-charged-in-a-hit-and-run-that-killed-2.html,2004-04-29T05:00:00+0000,U.S.,U.S.,Florida Woman,National
245,2 Fault-Free Rounds For Florida Woman,Margie Engle has two fault-free rounds in quest to ride for United States equestrian team in Olympics (S),https://www.nytimes.com/2000/06/24/sports/plus-equestrian-us-olympic-trials-2-fault-free-rounds-for-florida-woman.html,2000-06-24T05:00:00+0000,Sports,Sports,Florida Woman,National
251,Florida Woman Loses Custody Battle,"New York's highest court, bitterly divided, overturns two lower courts and rules that a family, and the state, do not have to abide by Florida court's custody order; decision could make child custody battles across state lines all the more difficu...",https://www.nytimes.com/1997/12/23/nyregion/florida-woman-loses-custody-battle.html,1997-12-23T05:00:00+0000,New York,New York,Florida Woman,National
