,Title,Summary,Link,Time,Section,Subsection,Category,State
6,"Florida Boy, Just 13, Sprints to International Master Title","In addition to being perhaps the youngest international master in United States history, Ray Robson satisfied the requirements in a mere six weeks.",https://www.nytimes.com/2007/12/16/crosswords/chess/16chess.html,2007-12-16T05:00:00+0000,Crosswords & Games,Crosswords & Games,Florida Boy,National
7,Authorities Search for Gunman Who Abducted a Florida Boy,A 13-year-old boy was abducted at a school bus stop and was found hours later in a wooded area where he had been left bound by his captor.,https://www.nytimes.com/2007/02/24/us/24abduct.html,2007-02-24T05:00:00+0000,U.S.,U.S.,Florida Boy,National
20,"As Florida Boy Serves Life Term, Even Prosecutor Wonders Why","Case of Lionel Tate, 15-year-old Florida boy who is serving life sentence for murdering playmate Tiffany Eunick in 1999, heads to appeal with his lawyers arguing that sentence is cruel and unusual; even Ken Padowitz, who prosecuted case, says sent...",https://www.nytimes.com/2003/01/05/us/as-florida-boy-serves-life-term-even-prosecutor-wonders-why.html,2003-01-05T05:00:00+0000,U.S.,U.S.,Florida Boy,National
23,"Trial Opens for Florida Boy, 14, Accused of Killing His Teacher","Jury in West Palm Beach, Fla, begins hearing case against 14-year-old Nathaniel Brazill, who is charged with first-degree murder in shooting death of his teacher Barry Grunow last May, when boy was 13; he could receive life sentence if convicted; ...",https://www.nytimes.com/2001/05/03/us/trial-opens-for-florida-boy-14-accused-of-killing-his-teacher.html,2001-05-03T05:00:00+0000,U.S.,U.S.,Florida Boy,National
39,3-Year-Old Florida Boy Is Found Dead Near 11-Foot Alligator,"Trapper finds body of 3-year-old Adam Trevor Binford in lake near Orlando, Fla, and kills 11-foot alligator that was pushing child through the water; boy had disappeared day earlier as he played in lake's shallow waters with his brother; officials...",https://www.nytimes.com/1997/03/23/us/3-year-old-florida-boy-is-found-dead-near-11-foot-alligator.html,1997-03-23T05:00:00+0000,U.S.,U.S.,Florida Boy,National
46,Florida Boy Getting New Liver,,https://www.nytimes.com/1987/02/25/us/florida-boy-getting-new-liver.html,1987-02-25T05:00:00+0000,U.S.,U.S.,Florida Boy,National
58,Lioness Mauls Florida Boy,"25‐yr‐old Leda Brownell is recovering from wounds she recd when leopard, belonging to friend, turned on her, Tarpon Springs, Fla (S)",https://www.nytimes.com/1974/01/14/archives/lioness-mauls-florida-boy.html,1974-01-14T05:00:00+0000,Archives,Archives,Florida Boy,National
61,"Florida Boy, 13, Not Guilty In Killing of His Playmate",,https://www.nytimes.com/1969/02/07/archives/florida-boy-13-not-guilty-in-killing-of-his-playmate.html,1969-02-07T05:00:00+0000,Archives,Archives,Florida Boy,National
65,14-Year-Old Florida Boy Captures Water Ski Title,All-Amer champs,https://www.nytimes.com/1966/12/18/archives/14yearold-florida-boy-captures-water-ski-title.html,1966-12-18T05:00:00+0000,Archives,Archives,Florida Boy,National
66,Jersey State House to Fly Florida Boy's U.S. Flag,Gov R J Hughes to fly Fla boy's flag over NJ capitol; boy seeks to fly it over each state capitol,https://www.nytimes.com/1965/12/20/archives/jersey-state-house-to-fly-florida-boys-us-flag.html,1965-12-20T05:00:00+0000,Archives,Archives,Florida Boy,National
67,4 IN KLAN CLEARED OF RACE BOMBING; Freed of Violating Rights of 6‐Year‐Old Florida Boy,"defendants freed; defense atty J B Stoner, in gibe at FBI, hails decision as 'victory for white race,'",https://www.nytimes.com/1964/11/26/archives/4-in-klan-cleared-of-race-bombing-freed-of-violating-rights-of.html,1964-11-26T05:00:00+0000,Archives,Archives,Florida Boy,National
68,Florida Boy's Queries To Get Moscow Reply,,https://www.nytimes.com/1963/08/03/archives/florida-boys-queries-to-get-moscow-reply.html,1963-08-03T05:00:00+0000,Archives,Archives,Florida Boy,National
69,CURRY TOPS TENNIS LIST; Florida Boy Ranked No. 1 in 13-Years-and-Under Group,,https://www.nytimes.com/1961/12/04/archives/curry-tops-tennis-list-florida-boy-ranked-no-1-in-13yearsandunder.html,1961-12-04T05:00:00+0000,Archives,Archives,Florida Boy,National
70,TIGERS GET FLORIDA BOY; Pitcher Broke Score's Mark for Strikeouts in Tourney,,https://www.nytimes.com/1957/07/14/archives/tigers-get-florida-boy-pitcher-broke-scores-mark-for-strikeouts-in.html,1957-07-14T05:00:00+0000,Archives,Archives,Florida Boy,National
72,DANCER IN 2D KIDNAPING; Woman Seized on Coast With 3 1/2-Year-Old Florida Boy,"Brock, D: B L Grimm (Mrs B Collins) seized, Los Angeles, with 3 1/2-yr-old child she abducted from Live Oak, Fla, home; kidnapping of Bradford children in May '53, recalled",https://www.nytimes.com/1955/01/10/archives/dancer-in-2d-kidnaping-woman-seized-on-coast-with-3-12yearold.html,1955-01-10T05:00:00+0000,Archives,Archives,Florida Boy,National
73,CHILD 'BLEEDER' IMPROVES; Florida Boy Flown Here May Soon Be Going Home,,https://www.nytimes.com/1952/03/26/archives/child-bleeder-improves-florida-boy-flown-here-may-soon-be-going.html,1952-03-26T05:00:00+0000,Archives,Archives,Florida Boy,National
74,"Florida Boy Collects 1,469 Garments To Lead Volunteers in Clothing Drive","Orlando, Fla, and other community drive results discussed; Kaiser comments",https://www.nytimes.com/1946/02/08/archives/florida-boy-collects-1469-garments-to-lead-volunteers-in-clothing.html,1946-02-08T05:00:00+0000,Archives,Archives,Florida Boy,National
76,FLORIDA BOY CLAIMS FIVE SWIM RECORDS; 14-Year-Old Star Seeks Credit for Bettering U.S. Marks Now Held by Ross. ,,https://www.nytimes.com/1931/12/25/archives/florida-boy-claims-five-swim-records-14yearold-star-seeks-credit.html,1931-12-25T05:00:00+0000,Archives,Archives,Florida Boy,National
78,"FLORIDA BOY BANDIT IN ANOTHER EXPLOIT; Last of Famous Ashley Gang, Who Eluded Posse in January, Is Active Again.",,https://www.nytimes.com/1924/03/16/archives/florida-boy-bandit-in-another-exploit-last-of-famous-ashley-gang.html,1924-03-16T05:00:00+0000,Archives,Archives,Florida Boy,National
79,KILLED HIS FATHER FOR $5.; Confession of a Murder by a Florida Boy of Fourteen.,,https://www.nytimes.com/1897/09/03/archives/killed-his-father-for-5-confession-of-a-murder-by-a-florida-boy-of.html,1897-09-03T05:00:00+0000,Archives,Archives,Florida Boy,National
