,Title,Summary,Link,Time,Section,Subsection,Category,State
0,Review: ‘Florida Girls’ Is Another Reason to Find the Pop Network,"Before it revives “One Day at a Time,” a boutique cable channel offers a raunchy comedy about female friendship and petty theft in alligator country.",https://www.nytimes.com/2019/07/09/arts/television/florida-girls-review-pop.html,2019-07-09T16:33:43+0000,Arts,Arts,Florida Girl,National
7,"Clues Sought After Body of Florida Girl, 7, Is Found",Investigators on Thursday intensified their search for a suspect in the slaying after the two-day search ended with the discovery of Somer Renee Thompson’s body.,https://www.nytimes.com/2009/10/23/us/23girl.html,2009-10-22T17:11:55+0000,U.S.,U.S.,Florida Girl,National
12,"Florida Girls Lift Weights, and Gold Medals","Girls’ weightlifting, a high school sport sanctioned only in one state, is embraced by girls of all shapes, sizes and athletic abilities.",https://www.nytimes.com/2007/03/17/us/17weight.html,2007-03-17T04:00:00+0000,U.S.,U.S.,Florida Girl,National
13,Sex Offender Guilty of Rape and Murder of Florida Girl,"The case against John E. Couey, who could face the death penalty, led to a nationwide crackdown on sex criminals.",https://www.nytimes.com/2007/03/08/us/08verdict.html,2007-03-08T05:00:00+0000,U.S.,U.S.,Florida Girl,National
14,Trial Opens in Case of Convicted Sex Offender Accused in Murder of 9-Year-Old Florida Girl,"The case provoked a nationwide crackdown on sex criminals, not least because the suspect, John E. Couey, was a convicted sex offender who had managed to skip required counseling sessions.",https://www.nytimes.com/2007/03/02/us/02florida.html,2007-03-02T05:00:00+0000,U.S.,U.S.,Florida Girl,National
18,Body of Missing 11-Year-Old Florida Girl Is Found,"Joseph P. Smith has been charged with the murder of Carlie Brucia, whose abduction was captured by surveillance camera.",https://www.nytimes.com/2004/02/06/national/body-of-missing-11yearold-florida-girl-is-found.html,2004-02-06T05:00:00+0000,U.S.,U.S.,Florida Girl,National
19,Florida Girl Abducted on Video Is Found Dead; Mechanic With Criminal Record Is Charged,"Investigators in Sarasota, Fla, find body of 11-year-old Carlie Brucia in woods behind church; officials charge Joseph P Smith, mechanic with long criminal record, with murder and kidnapping and vow to seek death penalty; Smith was arrested after ...",https://www.nytimes.com/2004/02/07/us/florida-girl-abducted-video-found-dead-mechanic-with-criminal-record-charged.html,2004-02-07T05:00:00+0000,U.S.,U.S.,Florida Girl,National
30,Judge Finalizes Parent Switch By Florida Girl,,https://www.nytimes.com/1994/05/15/us/judge-finalizes-parent-switch-by-florida-girl.html,1994-05-15T05:00:00+0000,U.S.,U.S.,Florida Girl,National
31,"Custody Approved For Florida Girl, 15, Who Was Swapped",,https://www.nytimes.com/1994/05/16/us/custody-approved-for-florida-girl-15-who-was-swapped.html,1994-05-16T05:00:00+0000,U.S.,U.S.,Florida Girl,National
32,Brain-Dead Florida Girl Will Be Sent Home on Life Support,,https://www.nytimes.com/1994/02/19/us/brain-dead-florida-girl-will-be-sent-home-on-life-support.html,1994-02-19T05:00:00+0000,U.S.,U.S.,Florida Girl,National
33,"Florida Girl, 14, Wins Right Not to See Biological Family",,https://www.nytimes.com/1993/08/19/us/florida-girl-14-wins-right-not-to-see-biological-family.html,1993-08-19T05:00:00+0000,U.S.,U.S.,Florida Girl,National
42,Florida Girl to Be Tested To Determine Parentage,,https://www.nytimes.com/1988/09/29/us/florida-girl-to-be-tested-to-determine-parentage.html,1988-09-29T05:00:00+0000,U.S.,U.S.,Florida Girl,National
55,Florida Girl Flees Kidnapper;  Suspect Is Arrested,she escapes from her kidnapper's home in Siesta Key after telephoning her parents; Wilfred Arthur Bannister arrested for kidnapping and involuntary sexual battery; illus (M),https://www.nytimes.com/1977/07/02/archives/florida-girl-flees-kidnapper-suspect-is-arrested.html,1977-07-02T05:00:00+0000,Archives,Archives,Florida Girl,National
56,Florida Girl Scout Abducted at Camp By a Male Intruder,"Grosse, Charlotte: She telephones father that she will be released soon (S)",https://www.nytimes.com/1977/06/30/archives/florida-girl-scout-abducted-at-camp-by-a-male-intruder.html,1977-06-30T05:00:00+0000,Archives,Archives,Florida Girl,National
57,"Body of Florida Girl, 8, is Found","Berry, Lisa Lynn: Body of 8-yr-old found in canal, Ft Lauderdale (S)",https://www.nytimes.com/1976/10/28/archives/body-of-florida-girl-8-is-found.html,1976-10-28T05:00:00+0000,Archives,Archives,Florida Girl,National
60,Florida Girl Takes Title In Skating,,https://www.nytimes.com/1974/01/13/archives/florida-girl-takes-title-in-skating.html,1974-01-13T05:00:00+0000,Archives,Archives,Florida Girl,National
63,Florida Girl Passes First Jockey Test,"approves B J Rubin, 19-yr-old girl; illus",https://www.nytimes.com/1969/01/14/archives/florida-girl-passes-first-jockey-test.html,1969-01-14T05:00:00+0000,Archives,Archives,Florida Girl,National
64,"Ex-Policeman Found Guilty In Murder of Florida Girl, 12","Clark, M: R Erler, ex-policeman, found guilty of murdering 12-yr-old girl, Ft Lauderdale",https://www.nytimes.com/1969/02/01/archives/expoliceman-found-guilty-in-murder-of-florida-girl-12.html,1969-02-01T05:00:00+0000,Archives,Archives,Florida Girl,National
65,"Florida Girl, 20, Applies For License in Kentucky",,https://www.nytimes.com/1968/11/22/archives/florida-girl-20-applies-for-license-in-kentucky.html,1968-11-22T05:00:00+0000,Archives,Archives,Florida Girl,National
67,"Florida Girl, 16, Smashes 440-Yard Free-Style Mark","P Kruse (US), women's world 440-yd free-style (4:44.3); Tanner, women's world 220-yd medley (2:33.3)",https://www.nytimes.com/1966/07/05/archives/florida-girl-16-smashes-440yard-freestyle-mark.html,1966-07-05T05:00:00+0000,Archives,Archives,Florida Girl,National
68,World Water-Ski Mark Broken by Florida Girl,"world champs, Brisbane",https://www.nytimes.com/1965/10/29/archives/world-waterski-mark-broken-by-florida-girl.html,1965-10-29T05:00:00+0000,Archives,Archives,Florida Girl,National
69,"Nuptials Planned By Gail Buettner, Senior at Rollins; Florida Girl Affianced to Thomas A. Choate, a Fellow Student",,https://www.nytimes.com/1964/12/21/archives/nuptials-planned-by-gail-buettner-senior-at-rollins-florida-girl.html,1964-12-21T05:00:00+0000,Archives,Archives,Florida Girl,National
70,Florida Girl Loses,,https://www.nytimes.com/1964/04/17/archives/florida-girl-loses.html,1964-04-17T05:00:00+0000,Archives,Archives,Florida Girl,National
71,Florida Girl Wins in Naples,,https://www.nytimes.com/1964/04/22/archives/florida-girl-wins-in-naples.html,1964-04-22T05:00:00+0000,Archives,Archives,Florida Girl,National
72,Elizabeth Dunn Engaged to Wed R. V. Clark Jr.; Florida Girl Will Be Married to Former Student at N. Y. U.,,https://www.nytimes.com/1961/11/07/archives/elizabeth-dunn-engaged-to-wed-r-v-clark-jr-florida-girl-will-be.html,1961-11-07T05:00:00+0000,Archives,Archives,Florida Girl,National
73,Judith A. Dickey Engaged to Wed A Navy Officer; Florida Girl Is Fiancee of Griffith Winthrop -- Nuptials Sept. 12,,https://www.nytimes.com/1959/08/04/archives/judith-a-dickey-engaged-to-wed-a-navy-officer-florida-girl-is.html,1959-08-04T05:00:00+0000,Archives,Archives,Florida Girl,National
74,Army Lieutenant And Miss Crosby Will Be Married; Glenn Brown Fiance of Florida Girl--Nuptials Slated in December,,https://www.nytimes.com/1958/11/30/archives/army-lieutenant-and-miss-crosby-will-be-married-glenn-brown-fiance.html,1958-11-30T05:00:00+0000,Archives,Archives,Florida Girl,National
75,Putnam Sisters Will Be Brides; Double Wedding in June Planned for Florida Girls,,https://www.nytimes.com/1956/10/25/archives/putnam-sisters-will-be-brides-double-wedding-in-june-planned-for.html,1956-10-25T05:00:00+0000,Archives,Archives,Florida Girl,National
76,"MISS GREEN KEEPS TITLE; National 1,500-Meter Swim Again Won by Florida Girl",,https://www.nytimes.com/1956/07/05/archives/miss-green-keeps-title-national-1500meter-swim-again-won-by-florida.html,1956-07-05T05:00:00+0000,Archives,Archives,Florida Girl,National
77,MISS SCHNEIDER UPSET; Florida Girl Bows in Tennis to Pilar Herrero of Cuba,,https://www.nytimes.com/1955/12/28/archives/miss-schneider-upset-florida-girl-bows-in-tennis-to-pilar-herrero.html,1955-12-28T05:00:00+0000,Archives,Archives,Florida Girl,National
78,MISS MITCHELL FIANCEE; uuuuuuuu Florida Girl Engaged to Cadet William Lloyd Welter Jr.,,https://www.nytimes.com/1955/04/17/archives/miss-mitchell-fiancee-uuuuuuuu-florida-girl-engaged-to-cadet.html,1955-04-17T05:00:00+0000,Archives,Archives,Florida Girl,National
79,"Hoad-Rosewall, Misses Hart-Fry Take Paris Tennis Doubles Titles; Aussies Top Rose-Wilderspin, 6-2, 6-1, 6-1 -- Maureen Connolly-Miss Sampson Bow -- Seixas Victor With Florida Girl","L Hoad-K Rosewall (Australia) win men's doubles; D Hart-F Fry (US), women's",https://www.nytimes.com/1953/06/01/archives/hoadrosewall-misses-hartfry-take-paris-tennis-doubles-titles.html,1953-06-01T05:00:00+0000,Archives,Archives,Florida Girl,National
80,SUSAN FRENCH TO BE WED; Florida Girl Is Betrothed to Conrad S.P. Williams Jr.,,https://www.nytimes.com/1951/12/01/archives/susan-french-to-be-wed-florida-girl-is-betrothed-to-conrad-sp.html,1951-12-01T05:00:00+0000,Archives,Archives,Florida Girl,National
81,Florida Girl Captures 2 Essex Tennis Titles,D Hart (US) wins singles and doubles,https://www.nytimes.com/1951/08/13/archives/florida-girl-captures-2-essex-tennis-titles.html,1951-08-13T05:00:00+0000,Archives,Archives,Florida Girl,National
82,FLORIDA GIRL IS FIRST; Joan Pfleuger Hits 94 of 100 in Meet at Havana Traps,,https://www.nytimes.com/1949/01/31/archives/florida-girl-is-first-joan-pfleuger-hits-94-of-100-in-meet-at.html,1949-01-31T05:00:00+0000,Archives,Archives,Florida Girl,National
83,"NAVY LIE[ITENANT, MISS PARKS T0 WED; AndrewValentine,an Annapolis Graduate, to Marry Florida Girl in the Summer -4",,https://www.nytimes.com/1948/12/26/archives/navy-lieitenant-miss-parks-t0-wed-andrewvalentinean-annapolis.html,1948-12-26T05:00:00+0000,Archives,Archives,Florida Girl,National
84,"Gonzales Downs Schroeder, Retains U. S. Singles Title; Mrs. du Pont Victor; CHAMPION RALLIES TO SCORE IN 5 SETS Gonzales Drops Record First Tilt, 18-16, Second at 6-2, Then Rises to Triumph MISS HART BOWS, 6-4, 6-1 Florida Girl Beaten in Final by Mrs. du Pont -- Hall Wins Veteran Title 6th Time","matches, S 1-5 (in sports sec); R (Pancho) Gonzales wins men's singles; Mrs W Du Pont women's",https://www.nytimes.com/1949/09/06/archives/gonzales-downs-schroeder-retains-u-s-singles-title-mrs-du-pont.html,1949-09-06T05:00:00+0000,Archives,Archives,Florida Girl,National
85,ALICE BURROWES TO WED; Troth of Florida Girl to F.W. Ritter Jr. Is Announced,,https://www.nytimes.com/1946/06/02/archives/alice-burrowes-to-wed-troth-of-florida-girl-to-fw-ritter-jr-is.html,1946-06-02T05:00:00+0000,Archives,Archives,Florida Girl,National
86,TROTH OF MISS ANN JONES; Florida Girl Fiancee of Lieut. Raymond Simon of AAF,,https://www.nytimes.com/1946/02/06/archives/troth-of-miss-ann-jones-florida-girl-fiancee-of-lieut-raymond-simon.html,1946-02-06T05:00:00+0000,Archives,Archives,Florida Girl,National
87,OLIVE OLLIPHANT TO WED; Florida Girl Becomes Engaged to Capt. Philip C. Morse Jr.,,https://www.nytimes.com/1945/03/25/archives/olive-olliphant-to-wed-florida-girl-becomes-engaged-to-capt-philip.html,1945-03-25T05:00:00+0000,Archives,Archives,Florida Girl,National
88,TOBACCO QUEEN CHOSEN; Connecticut Growers Select Florida Girl in Beauty Contest,Chosen Conn Tobacco Queen,https://www.nytimes.com/1944/08/28/archives/tobacco-queen-chosen-connecticut-growers-select-florida-girl-in.html,1944-08-28T05:00:00+0000,Archives,Archives,Florida Girl,National
89,AUDREY WING BETROTHED; Florida Girl Will Be Married to Lieut. George W. Jackson Jr. ,,https://www.nytimes.com/1942/09/07/archives/audrey-wing-betrothed-florida-girl-will-be-married-to-lieut-george.html,1942-09-07T05:00:00+0000,Archives,Archives,Florida Girl,National
90,"ENGAGED TO .MARRY; Florida Girl, Daughter of Late U. $. Attorney, Fiancee of Ensign ROy Merchant Jr. AN ALUMNA OF FAIRMONT Bridegroom-Elect, Instructor in .Naval Aviation, Graduate' of Dartmouth, Class of '40",decorations; illus,https://www.nytimes.com/1942/12/13/archives/engaged-to-marry-florida-girl-daughter-of-late-u-attorney-fiancee.html,1942-12-13T05:00:00+0000,Archives,Archives,Florida Girl,National
91,Doris M. Day Affianced; Florida Girl to Become Bride of R.S. Leland of New Canaan,"Leland, Roderic S; D M Day (e)",https://www.nytimes.com/1939/02/12/archives/doris-m-day-affianced-florida-girl-to-become-bride-of-rs-leland-of.html,1939-02-12T05:00:00+0000,Archives,Archives,Florida Girl,National
92,"DOROTHY JUDKINS WED IN EDINBURGH; Florida Girl Bride of Richard G. Kibbey, Ex-Colgate Student","Kibbey, Richd G; D Judkins",https://www.nytimes.com/1938/12/14/archives/dorothy-judkins-wed-in-edinburgh-florida-girl-bride-of-richard-g.html,1938-12-14T05:00:00+0000,Archives,Archives,Florida Girl,National
93,CHARLOTTE HAYNES WED; Florida Girl Is Bride of Jerry R. Caldwell at Lake Placid,"Caldwell, Jerry R; C B Haynes",https://www.nytimes.com/1938/07/31/archives/charlotte-haynes-wed-florida-girl-is-bride-of-jerry-r-caldwell-at.html,1938-07-31T05:00:00+0000,Archives,Archives,Florida Girl,National
94,FAITH ALEXANDER'S PLANS; Florida Girl Will Be Married to William Matheson on Dec. 27,,https://www.nytimes.com/1937/12/12/archives/faith-alexanders-plans-florida-girl-will-be-married-to-william.html,1937-12-12T05:00:00+0000,Archives,Archives,Florida Girl,National
95,SENATOR SMATHERS WEDS MARY FOLEY; New Jersey's Senior in Upper House of Congress Marries Florida Girl in Fairfax,"Smathers, Wm H; M J Foley",https://www.nytimes.com/1938/02/10/archives/senator-smathers-weds-mary-foley-new-jerseys-senior-in-upper-house.html,1938-02-10T05:00:00+0000,Archives,Archives,Florida Girl,National
96,"JEANNETTE GENIUS BECOMES ENGAGED; Florida Girl, Former Dana Hall Student, Will Be Married to Hugh F. McKean","McKean, Hugh F; J M Genius (e)",https://www.nytimes.com/1938/01/04/archives/jeannette-genius-becomes-engaged-florida-girl-former-dana-hall.html,1938-01-04T05:00:00+0000,Archives,Archives,Florida Girl,National
97,JANE WHITNEY AFFIANCED; Florida Girl to Be Wed in Autumn to Geoffrey V. Azoy,"Azoy, Geoffrey V; J T Whitney",https://www.nytimes.com/1937/08/05/archives/jane-whitney-affianced-florida-girl-to-be-wed-in-autumn-to-geoffrey.html,1937-08-05T05:00:00+0000,Archives,Archives,Florida Girl,National
98,"Florida Girl, 14, Plans Wedding",At 45 plans to wed 14-yr-old R Booker,https://www.nytimes.com/1937/03/15/archives/florida-girl-14-plans-wedding.html,1937-03-15T05:00:00+0000,Archives,Archives,Florida Girl,National
99,YOUNGEST DELEGATE IS FLORIDA GIRL OF 22; She Favors Retention of Two-thirds Rule and Opposes Any Woman for Vice President.,"youngest delegate at Dem convention, int",https://www.nytimes.com/1936/06/26/archives/youngest-delegate-is-florida-girl-of-22-she-favors-retention-of.html,1936-06-26T05:00:00+0000,Archives,Archives,Florida Girl,National
100,CLUE TO AIR CRASH IS SOUGHT IN ASHES; Charred Remnants of Plane Sifted in Pittsburgh After Mishap Fatal to Ten. QUESTION SOLE SURVIVOR But Florida Girl Who Crawled From Wreck After Sight-Seeing Trip Cannot Help.,,https://www.nytimes.com/1936/09/08/archives/clue-to-air-crash-is-sought-in-ashes-charred-remnants-of-plane.html,1936-09-08T05:00:00+0000,Archives,Archives,Florida Girl,National
101,"MISS NATALIE HALL BECOMES ENGAGED; Parents of Florida Girl Make Known Troth to Frederick W. Hobbs of New York. NUPTIALS TO BE IN WINTER Bride-Elect Granddaughter of the Late Robert B. Holmes of Madison, N.J.",Engaged to N Hall,https://www.nytimes.com/1934/10/30/archives/miss-natalie-hall-becomes-engaged-parents-of-florida-girl-make.html,1934-10-30T05:00:00+0000,Archives,Archives,Florida Girl,National
102,"MISS RAWLS VICTOR IN SWIM DECATHLON; 50,000 at Jones Beach Watch Florida Girl Complete a Ten-Event Sweep. MRS. JARRETT WINS TITLE Takes Metropolitan A.A.U. 220-Yard Back-Stroke in Record Time of 2:56.4",K Rawls completes program without defeat,https://www.nytimes.com/1934/09/04/archives/miss-rawls-victor-in-swim-decathlon-50000-at-jones-beach-watch.html,1934-09-04T05:00:00+0000,Archives,Archives,Florida Girl,National
103,MISS RAWLS GAINED SWIMMING HONORS; Florida Girl Scored 16 Points in National Meet to Top Miss Kight by One.,K Rawls star of senior meet,https://www.nytimes.com/1933/04/24/archives/miss-rawls-gained-swimming-honors-florida-girl-scored-16-points-in.html,1933-04-24T05:00:00+0000,Archives,Archives,Florida Girl,National
104,MISS KIGHT TAKES TWO SWIM TITLES; Pennsylvania Naiad Annexes U.S. 100-Meter and One-Mile Free Style Crowns. MISS RAWLS AGAIN WINS Springboard Diving Laurels Retained by Florida Girl at Jones Beach.,Natl women's 10-ft springboard title retained by K Rawls,https://www.nytimes.com/1933/07/21/archives/miss-kight-takes-two-swim-titles-pennsylvania-naiad-annexes-us.html,1933-07-21T05:00:00+0000,Archives,Archives,Florida Girl,National
105,"LUCILLE E. IE ROY ENGAGED TO MARRY; Florida Girl Is Affianced to James B. Lounsbury, Son of Professor at Winter Rark. SHE IS ROLLINS GRADUATE Was President of Her Pi Beta Phi ChapteruFiance Is Student of Yale School of Surgery.",Engaged to L E Le Roy,https://www.nytimes.com/1933/04/07/archives/lucille-e-ie-roy-engaged-to-marry-florida-girl-is-affianced-to.html,1933-04-07T05:00:00+0000,Archives,Archives,Florida Girl,National
106,MISS RAWLS RETAINS MEDLEY SWIM TITLE; Florida Girl Finishes Far in Front in 300-Meter Event at National A.A.U. Meet.,300-meter medley swim for women won by K Rawls,https://www.nytimes.com/1932/09/09/archives/miss-rawls-retains-medley-swim-title-florida-girl-finishes-far-in.html,1932-09-09T05:00:00+0000,Archives,Archives,Florida Girl,National
107,"MISS RAWLS WINS IN OLYMPIC DIVING; Fifteen-Year-Old Florida Girl Defeats Miss Coleman in Trial at Jones Beach. 20,000 SEE GREAT UPSET Miss Madison Continues Her Swimming Supremacy, Taking 100-Meter Free Style. AMERICAN RECORD FALLS Miss Hoffman Lowers Mark of Miss Rawls in 200-Meter Breast Stroke by Full Second. MISS RAWLS WINS IN OLYMPIC DIVING",women's trials,https://www.nytimes.com/1932/07/16/archives/miss-rawls-wins-in-olympic-diving-fifteenyearold-florida-girl.html,1932-07-16T05:00:00+0000,Archives,Archives,Florida Girl,National
108,"ESTHER HUNTINGTON TO WED SATURDAY; Florida Girl to Marry Thomas H. Howard in St. Columba's Chapel, Newport, R.I. ",,https://www.nytimes.com/1931/06/03/archives/esther-huntington-to-wed-saturday-florida-girl-to-marry-thomas-h.html,1931-06-03T05:00:00+0000,Archives,Archives,Florida Girl,National
109,MISS ATWOOD WINS IN SPEEDBORT TEST; Florida Girl First in Two Heats as Biscayne Bay Regatta Opens at Miami Beach. GAR WOOD RACES PLANE Makes Four Dashes in Mias America IX and Attains Estimated Speed of 90 Miles Per Hour. Jamaica Driver Victor. Collision Marks Race.,Biscayne Bay Regatta,https://www.nytimes.com/1931/03/18/archives/miss-atwood-wins-in-speedbort-test-florida-girl-first-in-two-heats.html,1931-03-18T05:00:00+0000,Archives,Archives,Florida Girl,National
110,WIN 4-H HEALTH CONTESTS.; Florida Girl and Indiana Boy Named Champions at Chicago.,Winners of 4-H natl health contest announced,https://www.nytimes.com/1929/12/04/archives/win-4h-health-contests-florida-girl-and-indiana-boy-named-champions.html,1929-12-04T05:00:00+0000,Archives,Archives,Florida Girl,National
111,Florida Girl Wins Typing Cup Donated by Governor Smith,V McBride wins contest; A Safer wins A E Smith cup for novice,https://www.nytimes.com/1928/10/02/archives/florida-girl-wins-typing-cup-donated-by-governor-smith.html,1928-10-02T05:00:00+0000,Archives,Archives,Florida Girl,National
112,"Mrs. Potter Palmer's Grandson Elopes, Wedding Florida Girl, 16, Despite Ban",Marries E Goldsmith,https://www.nytimes.com/1928/05/10/archives/mrs-potter-palmers-grandson-elopes-wedding-florida-girl-16-despite.html,1928-05-10T05:00:00+0000,Archives,Archives,Florida Girl,National
113,"THREE STUDENTS SUICIDES.; Tulane Junior, Florida Girl and Illinois Boy End Lives.","D M McLeod, schoolgirl of Jacksonville, Fla; E Main, high school student of Galesburg, Ill, and H P Bergeret, student at Tulane Univ, end lives",https://www.nytimes.com/1927/03/19/archives/three-students-suicides-tulane-junior-florida-girl-and-illinois-boy.html,1927-03-19T05:00:00+0000,Archives,Archives,Florida Girl,National
