Title,Summary,Link,Time,Section,Subsection,Category,State
What’s on TV Sunday: ‘Watership Down’ and ‘Miss Peregrine’s Home for Peculiar Children’,A new adaptation of the Richard Adams novel “Watership Down” debuts on Netflix. And a Tim Burton movie airs on FXX.,https://www.nytimes.com/2018/12/23/arts/television/whats-on-tv-sunday-watership-down-and-miss-peregrines-home-for-peculiar-children.html,2018-12-23T06:00:04+0000,Arts,Arts,Florida Boy,National
"Morning Buzz, March 22: A 32-Year-Old Case Is Solved","What we’re reading in The Times and elsewhere, including articles about criticism of Governor Cuomo’s redistricting efforts and an animal “resembling a kangaroo” in Syracuse.",https://cityroom.blogs.nytimes.com/2012/03/22/morning-buzz-march-22-a-32-year-old-case-is-solved/,2012-03-22T13:58:00+0000,New York,New York,Florida Boy,National
"Morning Buzz, March 29: A New ‘Mayor’ at City Hall","What we’re reading in The Times and elsewhere, including articles about a resolution to limit mayoral control of city schools and the growing Mega Millions lottery pot.",https://cityroom.blogs.nytimes.com/2012/03/29/morning-buzz-march-29-a-new-mayor-at-city-hall/,2012-03-29T14:05:41+0000,New York,New York,Florida Boy,National
"In Slain Teenager’s Case, a Long Route to National Attention","It took several weeks, after word spread on Facebook and Twitter of the shooting of Trayvon Martin, for the news to become widely reported by the national media.",https://www.nytimes.com/2012/03/26/business/media/for-martins-case-a-long-route-to-national-attention.html,2012-03-25T17:27:38+0000,Business Day,Business Day,Florida Boy,National
Sex Offenders: The Last Pariahs,Laws based on fear of sex crimes against children are not an effective form of prevention.,https://www.nytimes.com/2011/08/21/opinion/sunday/sex-offenders-the-last-pariahs.html,2011-08-20T21:48:28+0000,Opinion,Opinion,Florida Boy,National
"Florida: Boy, 12, Accused in Cousin’s Death","Prosecutors are reviewing whether a 12-year-old boy should be charged as an adult after the police accused him of fatally beating his toddler cousin Friday afternoon with a baseball bat for interrupting a cartoon show. The boy, whose name was not ...",https://www.nytimes.com/2008/01/08/us/08brfs-BOY12ACCUSED_BRF.html,2008-01-08T05:00:00+0000,U.S.,U.S.,Florida Boy,National
"Florida Boy, Just 13, Sprints to International Master Title","In addition to being perhaps the youngest international master in United States history, Ray Robson satisfied the requirements in a mere six weeks.",https://www.nytimes.com/2007/12/16/crosswords/chess/16chess.html,2007-12-16T05:00:00+0000,Crosswords & Games,Crosswords & Games,Florida Boy,National
Authorities Search for Gunman Who Abducted a Florida Boy,A 13-year-old boy was abducted at a school bus stop and was found hours later in a wooded area where he had been left bound by his captor.,https://www.nytimes.com/2007/02/24/us/24abduct.html,2007-02-24T05:00:00+0000,U.S.,U.S.,Florida Boy,National
National Briefing | South: Florida: Boy's Parents Meet With Governor,"A sit-in at the Capitol ended after Gov. Jeb Bush met with the parents of Martin Lee Anderson, 14, who died after being beaten by guards at a boot camp. The boy's mother, Gina Jones, said: ''We had had a conversation. There are some things he's go...",https://www.nytimes.com/2006/04/21/us/national-briefing-south-florida-boys-parents-meet-with-governor.html,2006-04-21T05:00:00+0000,U.S.,U.S.,Florida Boy,National
"Florida: Boy Who Died on Ride Had Heart Defect, Autopsy Finds","A minister's wife charged with killing her husband told the police she shot him after they argued over family finances and then told him ""I'm sorry"" as he lay dying in their bedroom, according to testimony at a bond hearing. The woman, Mary Winkle...",https://www.nytimes.com/2006/07/01/us/01brfs-004.html,2006-07-01T04:00:00+0000,U.S.,U.S.,Florida Boy,National
