Title,Summary,Link,Time,Section,Subsection,Category
"Concerts, Fireworks and a Military Parade Mark July Fourth","The national holiday to mark America's birth as a country has been filled with parades, concerts, competitive eating and, of course, fireworks.",https://www.nytimes.com/aponline/2019/07/04/us/ap-us-july-fourth.html,2019-07-04T05:06:23+0000,U.S.,U.S.,Florida Children
Florida Republicans Face Mounting Pressure to Act on Gun Control,Student protesters who survived last week‰Ûªs shooting want a range of new restrictions. Yet G.O.P. leaders appear set on pursuing narrower measures.,https://www.nytimes.com/2018/02/21/us/florida-gun-control-republicans.html,2018-02-21T15:27:26+0000,U.S.,U.S.,Florida Children
A Win for Free Speech and Gun Safety,Florida tried to ban doctors from talking to their patients about safe gun storage. It didn‰Ûªt work.,https://www.nytimes.com/2017/02/18/opinion/sunday/a-win-for-free-speech-and-gun-safety.html,2017-02-18T19:30:26+0000,Opinion,Opinion,Florida Children
Heavier Babies Do Better in School,Babies who are allowed to linger in the womb are often healthier and do better in school.,https://www.nytimes.com/2014/10/12/upshot/heavier-babies-do-better-in-school.html,2014-10-10T16:58:58+0000,The Upshot,The Upshot,Florida Children
"Backtracking on Florida Exams Flunked by Many, Even an Educator","Many students, tested through their senior year, failed standardized exams after the state revised its scoring criteria for the 2011-12 school year.",https://www.nytimes.com/2012/06/11/education/florida-backtracks-on-standardized-state-tests.html,2012-06-11T01:27:13+0000,Education,Education,Florida Children
"In Customer Service Consulting, Disney‰Ûªs Small World Is Growing","Desperate for new ways to connect with consumers, an increasing array of industries and organizations are hiring the Disney Institute, the low-profile consulting division of the Walt Disney Company.",https://www.nytimes.com/2012/04/22/business/media/in-business-consulting-disneys-small-world-is-growing.html,2012-04-21T21:00:16+0000,Business Day,Business Day,Florida Children
Summer Must-Read for Kids? Any Book,"A report says that for some children, the reading skills lost over the summer represent about two months‰Ûª worth of schooling.",https://well.blogs.nytimes.com/2010/08/02/summer-must-read-for-kids-any-book/,2010-08-02T21:28:05+0000,Health,Health,Florida Children
"More Election Troubles in Florida, but That Doesn‰Ûªt Bother the Governor","Gov. Charlie Crist‰Ûªs pleas to seat Florida‰Ûªs Democratic delegates undoubtedly help his image as a centrist, but he may well have other motives.",https://www.nytimes.com/2008/03/17/us/politics/17crist.html,2008-03-17T04:00:00+0000,U.S.,U.S.,Florida Children
Sex Offender Guilty of Rape and Murder of Florida Girl,"The case against John E. Couey, who could face the death penalty, led to a nationwide crackdown on sex criminals.",https://www.nytimes.com/2007/03/08/us/08verdict.html,2007-03-08T05:00:00+0000,U.S.,U.S.,Florida Children
Florida Court Strikes Down School Voucher Program,The court said the state constitution bars Florida from using taxpayer money to finance a private alternative to the public system.,https://www.nytimes.com/2006/01/05/national/florida-court-strikes-down-school-voucher-program.html,2006-01-05T05:00:00+0000,U.S.,U.S.,Florida Children
Briefly: Church panel reinstates defrocking of lesbian,,https://www.nytimes.com/2005/11/01/world/americas/briefly-church-panel-reinstates-defrocking-of-lesbian.html,2005-11-01T05:00:00+0000,World,World,Florida Children
Florida Supreme Court Blocks School Vouchers,"In a ruling expected to reverberate through battles over school choice in many states, the Florida Supreme Court struck down a voucher program yesterday for students attending failing schools, saying the State Constitution bars Florida from using ...",https://www.nytimes.com/2006/01/06/us/florida-supreme-court-blocks-school-vouchers.html,2006-01-06T05:00:00+0000,U.S.,U.S.,Florida Children
