Title,Summary,Link,Time,Section,Subsection,Category
'Doomsday Prepper' Accused of Abusing Adopted Twins,"A Florida couple described as ""doomsday preppers"" is accused of sexually and physically abusing adoptive twins who escaped and reported them.",https://www.nytimes.com/aponline/2019/07/15/us/ap-us-doomsday-preppers-women-abuse.html,2019-07-15T17:18:23+0000,U.S.,U.S.,Florida Couple
"Review: In â€˜I Do ... Until I Donâ€™t,â€™ Love and Loathing in Florida",Three married couples outwit a documentary filmmaker in Lake Bellâ€™s sex comedy.,https://www.nytimes.com/2017/08/31/movies/i-do-until-i-dont-review.html,2017-08-31T13:00:02+0000,Movies,Movies,Florida Couple
11 Great Titles Expiring From Netflix in December,"From â€œYoung Frankensteinâ€ù to â€œAmores Perros,â€ù these movies and TV series will disappear over the next several weeks, some in just a few days.",https://www.nytimes.com/2017/11/27/watching/movies-and-tv-shows-leaving-netflix-december.html,2017-11-27T20:04:46+0000,Watching,Watching,Florida Couple
Couple Linked to Petraeus Inquiry Drops Suit Against Government ,"The lawyers for Jill and Scott Kelley broke ties with them, and Ms. Kelley said that she has since difficulty finding new representation for the case.",https://www.nytimes.com/2016/03/25/us/couple-linked-to-petraeus-inquiry-drops-suit-against-government.html,2016-03-25T03:51:30+0000,U.S.,U.S.,Florida Couple
Another Florida Coupleâ€™s Possible Encounter With Movie-Theater Gunman,A Florida couple describes an eerily similar encounter in December at the same movie theater where a retired police officer was arrested on Monday for shooting and killing a man during an argument over texting.,https://thelede.blogs.nytimes.com/2014/01/15/another-florida-couples-possible-encounter-with-movie-theater-gunman/,2014-01-15T20:17:33+0000,Blogs,Blogs,Florida Couple
"Donald Trump, Groper in Chief",A former business partner recounts her experience with Trump in the 1990s.,https://www.nytimes.com/2016/10/09/opinion/sunday/donald-trump-groper-in-chief.html,2016-10-08T01:02:25+0000,Opinion,Opinion,Florida Couple
Hands On: The Second Generation,"Following parental examples, a Florida couple tackle the ultimate D.I.Y. project.",https://json8.nytimes.com/slideshow/2014/12/04/garden/hands-on-the-second-generation.html,2014-12-03T23:43:38+0000,Home & Garden,Home & Garden,Florida Couple
"Weddings Take Offbeat Turns, With Help From Hotels and Planners","Hotels and wedding planners are catering to new trends like informal mixers, after-parties, custom meals, social media concierges and personalized hashtags.",https://www.nytimes.com/2015/10/06/business/weddings-take-offbeat-turns-with-help-from-hotels-and-planners.html,2015-10-05T09:00:03+0000,Business Day,Business Day,Florida Couple
Cuba Returns Couple Who Fled With Sons in Custody Fight,"Joshua and Sharyn Hakken were arrested in Florida, and their children returned to their grandparents, after rare cooperation between hostile countries.",https://www.nytimes.com/2013/04/11/us/cuba-returns-couple-who-fled-florida-in-custody-fight.html,2013-04-11T00:13:28+0000,U.S.,U.S.,Florida Couple
"The Gun Report: June 6, 2013",A day in the life of armed America.,https://nocera.blogs.nytimes.com/2013/06/06/the-gun-report-june-6-2013/,2013-06-06T16:42:40+0000,Opinion,Opinion,Florida Couple
A Stubborn Drought Tests Texas Ranchers,"As a three-year drought parches their grazing land, some ranchers are staying afloat on a combination of ingenuity and patience.",https://www.nytimes.com/2013/04/06/business/a-long-drought-tests-texas-cattle-ranchers-patience-and-creativity.html,2013-04-05T17:31:51+0000,Business Day,Business Day,Florida Couple
Would Departed Fido Want to Leash Up Again? Ask Him,â€œI Cloned My Pet 2â€ù is about three dog owners contemplating the costly procedure to genetically recreate their beloved dead pets.,https://www.nytimes.com/2012/05/21/arts/television/i-cloned-my-pet-2-on-tlc.html,2012-05-20T22:05:29+0000,Arts,Arts,Florida Couple
"As Coolant Is Phased Out, Smugglers Reap Large Profits","As government authorities in the industrialized world work to phase out an air-conditioner coolant, HCFC-22, a black market has sprung up for it.",https://www.nytimes.com/2012/09/08/science/earth/smugglers-sell-coolant-tied-to-global-warming.html,2012-09-08T02:34:11+0000,Science,Science,Florida Couple
House of Cards,"After the filming of â€œThe Queen of Versailles,â€ù a documentary about an American Dream home bespeaking conspicuous wealth, the director and her subjects are at odds.",https://www.nytimes.com/2012/06/24/movies/the-queen-of-versailles-and-its-lawsuit.html,2012-06-21T15:00:01+0000,Movies,Movies,Florida Couple
Movie Listings for Sept. 28-Oct. 4,A guide to movies playing in and outside the New York area as well as noteworthy film series.,https://www.nytimes.com/2012/09/28/movies/movie-listings-for-sept-28-oct-4.html,2012-09-27T20:53:25+0000,Movies,Movies,Florida Couple
Manufacturer Recalls Pourable Fuel Gel After Injuries in Firepot Accidents,"A maker of pourable fuel gel for decorative firepots is recalling nearly a half-million bottles after learning of dozens of accidents, including two near-fatal ones in New York, the Consumer Product Safety Commission said.",https://www.nytimes.com/2011/06/23/nyregion/napa-home-and-garden-recalls-pourable-fuel-gel-after-firepot-accidents.html,2011-06-22T19:13:17+0000,New York,New York,Florida Couple
Movie Listings for Sept. 21-27,A guide to movies playing in and outside the New York area as well as noteworthy film series.,https://www.nytimes.com/2012/09/21/movies/movie-listings-for-sept-21-27.html,2012-09-20T21:06:28+0000,Movies,Movies,Florida Couple
Blogger Stirs a City by Suggesting That a Florida Coupleâ€™s Murder Was a Contract Killing,"Rick Outzen has been blogging and raising new questions in the case of Byrd and Melanie Billings, parents of 13 adopted children, who were killed July 9.",https://www.nytimes.com/2009/08/17/us/17pensacola.html,2009-08-17T01:00:52+0000,U.S.,U.S.,Florida Couple
"Documents Add Grisly Details, and Conflicting Accounts, in Florida Coupleâ€™s Killing","Newly disclosed police reports portray a nest of intrigue, dispute and finger-pointing in the killing of Byrd and Melanie Billings.",https://www.nytimes.com/2009/08/18/us/18florida.html,2009-08-18T03:08:58+0000,U.S.,U.S.,Florida Couple
Movie Listings for Oct. 5-11,A guide to movies playing in and outside the New York area as well as noteworthy film series.,https://www.nytimes.com/2012/10/05/movies/movie-listings-for-oct-5-11.html,2012-10-04T22:28:51+0000,Movies,Movies,Florida Couple
Movie Listings for Aug. 17-23,A selected guide to movies playing in and outside the New York area as well as noteworthy film series.,https://www.nytimes.com/2012/08/17/movies/movie-listings-for-aug-17-23.html,2012-08-16T22:04:47+0000,Movies,Movies,Florida Couple
Movie Listings for Sept. 7-13,A guide to movies playing in and outside the New York area as well as noteworthy film series.,https://www.nytimes.com/2012/09/07/movies/movie-listings-for-sept-7-13.html,2012-09-06T22:53:07+0000,Movies,Movies,Florida Couple
Movie Listings for Aug. 31-Sept. 6,A guide to movies playing in and outside the New York area as well as noteworthy film series.,https://www.nytimes.com/2012/08/31/movies/movie-listings-for-aug-31-sept-6.html,2012-08-30T22:12:49+0000,Movies,Movies,Florida Couple
