Title,Summary,Link,Time,Section,Subsection,Category
Review: â€˜Florida Girlsâ€™ Is Another Reason to Find the Pop Network,"Before it revives â€œOne Day at a Time,â€ù a boutique cable channel offers a raunchy comedy about female friendship and petty theft in alligator country.",https://www.nytimes.com/2019/07/09/arts/television/florida-girls-review-pop.html,2019-07-09T16:33:43+0000,Arts,Arts,Florida Girl
10-Year-Old Girl Escapes an Alligator in Orlando,"The official account is that she pried open the animalâ€™s jaws, but an expert cast doubt on that story (He did offer some defense tips).",https://www.nytimes.com/2017/05/08/us/alligator-attack-florida.html,2017-05-08T18:34:30+0000,U.S.,U.S.,Florida Girl
"â€˜Slender Man,â€™ a Horror Meme, Gets Ready to Step Out of the Shadows","Born on the Internet and cited as an inspiration in a grisly stabbing, the sinister character is at the center of a major push to take it mainstream.",https://www.nytimes.com/2016/05/07/movies/slender-man-a-horror-meme-gets-ready-to-step-out-of-the-shadows.html,2016-05-06T20:48:19+0000,Movies,Movies,Florida Girl
6 Qâ€™s About the News | Schools Watch Students on the Internet,What questions about studentsâ€™ freedom of speech does this article raise?,https://learning.blogs.nytimes.com/2013/10/30/6-qs-about-the-news-schools-watch-students-on-the-internet/,2013-10-30T08:33:03+0000,Education,Education,Florida Girl
Felony Counts for 2 in Suicide of Bullied 12-Year-Old,"A Central Florida sheriff said two girls, 12 and 14, were arrested after the older one posted an offensive online comment Saturday in connection with the case.",https://www.nytimes.com/2013/10/16/us/felony-charges-for-2-girls-in-suicide-of-bullied-12-year-old-rebecca-sedwick.html,2013-10-15T19:16:00+0000,U.S.,U.S.,Florida Girl
Facebook Eases Privacy Rules for Teenagers,"Teenagers will now be able to post items that can be seen by the public, making it easier for the social network to turn a post into an ad that can be shown widely.",https://www.nytimes.com/2013/10/17/technology/facebook-changes-privacy-policy-for-teenagers.html,2013-10-16T20:07:05+0000,Technology,Technology,Florida Girl
"Warily, Schools Watch Students on the Internet",New ways to monitor students around the clock raise questions about whether educators can or should legally discipline children for online outbursts.,https://www.nytimes.com/2013/10/29/technology/some-schools-extend-surveillance-of-students-beyond-campus.html,2013-10-28T23:57:36+0000,Technology,Technology,Florida Girl
"Clues Sought After Body of Florida Girl, 7, Is Found",Investigators on Thursday intensified their search for a suspect in the slaying after the two-day search ended with the discovery of Somer Renee Thompsonâ€™s body.,https://www.nytimes.com/2009/10/23/us/23girl.html,2009-10-22T17:11:55+0000,U.S.,U.S.,Florida Girl
Players Play It Cool as Irene Approaches,"At the National Tennis Center, Hurricane Ireneâ€™s impending arrival caused only minor disruptions in playersâ€™ routines.",https://straightsets.blogs.nytimes.com/2011/08/27/players-play-it-cool-as-irene-approaches/,2011-08-27T20:05:13+0000,Sports,Sports,Florida Girl
"Whatâ€™s Crunchy, Sweet and Used to Quack?","The digital mailman brought questions from an aunt, an art lover and a devoted granddaughter, all looking for places to eat well in Manhattan.",https://www.nytimes.com/2011/07/01/dining/dining-well-with-children-on-peking-duck-hey-mr-critic.html,2011-06-30T18:05:52+0000,Food,Food,Florida Girl
