Title,Summary,Link,Time,Section,Subsection,Category
"75-Year-Old Florida Man Kicks Alligator, Saves Dog",A 75-year-old Florida man says he kicked an alligator in the snout after it attacked his dog.,https://www.nytimes.com/aponline/2019/07/13/us/ap-us-man-kicks-gator.html,2019-07-13T17:12:21+0000,U.S.,U.S.,Florida Man
"Florida Man Pleads Guilty to Threatening Cory Booker, Rashida Tlaib and Eric Swalwell","The man, who said in racist and expletive-laced phone messages that he wanted to kill Senator Cory Booker and Representatives Rashida Tlaib and Eric Swalwell, faces up to five years in prison.",https://www.nytimes.com/2019/06/11/us/threats-congress-john-kless-guilty.html,2019-06-12T01:02:29+0000,U.S.,U.S.,Florida Man
Florida Man Charged in Racist Threats Against Cory Booker and Rashida Tlaib,"The man, John J. Kless, of Florida, made phone calls laced with slurs to the lawmakers, and to another member of Congress in California, on April 16, according to court records.",https://www.nytimes.com/2019/04/19/us/threats-congress-john-kless.html,2019-04-20T01:25:03+0000,U.S.,U.S.,Florida Man
â€˜The Legend of Cocaine Islandâ€™ Review: Florida Manâ€™s Silly Odyssey,A harebrained scheme ends in comic confusion in Theo Loveâ€™s goofy documentary.,https://www.nytimes.com/2019/03/29/movies/the-legend-of-cocaine-island-review.html,2019-03-29T12:00:01+0000,Movies,Movies,Florida Man
Sweet! Florida Man Wins July 4 Key Lime Pie-eating Contest,A Key West man has won the Mile-High Key Lime Pie Eatin' Contest on the subtropical island where the pie originated.,https://www.nytimes.com/aponline/2019/07/04/us/ap-us-key-lime-eating-contest.html,2019-07-04T20:00:22+0000,U.S.,U.S.,Florida Man
How Alex Jones and Infowars Helped a Florida Man Torment Sandy Hook Families,"Mr. Jones and Infowars gave Wolfgang Halbig airtime, a camera crew and help raising money to harass Sandy Hook shooting victimsâ€™ parents.",https://www.nytimes.com/2019/03/29/us/politics/alex-jones-infowars-sandy-hook.html,2019-03-29T19:11:59+0000,U.S.,U.S.,Florida Man
Review: Matthew McConaughey Waxes Poetic in â€˜The Beach Bumâ€™,The McConaissance collapses into decadence in Harmony Korineâ€™s latest caper.,https://www.nytimes.com/2019/03/27/movies/the-beach-bum-review.html,2019-03-27T14:15:40+0000,Movies,Movies,Florida Man
This May Be a First: Exploding Vape Pen Kills a Florida Man,"The authorities said the man, 35, died of a â€œprojectile wound to the head.â€ù It could be the first death attributed to vaping products in the United States.",https://www.nytimes.com/2018/05/16/us/man-killed-vape-explosion.html,2018-05-17T01:37:37+0000,U.S.,U.S.,Florida Man
"Florida Man Charged With Beating Stepson, 7, to Death","Jack J. Montgomery, 31, was charged with murder and child abuse in the beating death of Brice Russell, the authorities said.",https://www.nytimes.com/2018/01/02/us/florida-man-stepson-death.html,2018-01-02T21:22:43+0000,U.S.,U.S.,Florida Man
"Suspect, 22, Is Arrested in Killing of Rapper XXXTentacion","Dedrick Devonshay Williams of Pompano Beach, Fla., was arrested on charges including first-degree murder. The rapper was shot and killed on Monday.",https://www.nytimes.com/2018/06/21/arts/music/xxxtentacion-arrest-murder-charge.html,2018-06-21T13:53:29+0000,Arts,Arts,Florida Man
