Title,Summary,Link,Time,Section,Subsection,Category
Florida Woman Who Took Husband's Guns Faces Misdemeanor,"A Florida woman who took her estranged husband's guns after his arrest and turned them over to the police will be charged with misdemeanor trespassing instead of theft and burglary, a prosecutor said Wednesday.",https://www.nytimes.com/aponline/2019/07/03/us/ap-us-wife-takes-guns.html,2019-07-03T21:21:20+0000,U.S.,U.S.,Florida Woman
Democrats Ask F.B.I. to Investigate Florida Woman Suspected of Selling Access to Trump,"The Democrats said that reports about Cindy Yang raised â€œserious counterintelligence concernsâ€ù about access to Mr. Trumpâ€™s Florida estate, as well as about campaign finance violations.",https://www.nytimes.com/2019/03/18/us/politics/cindy-yang-trump.html,2019-03-18T17:07:31+0000,U.S.,U.S.,Florida Woman
â€˜Itâ€™s Giganticâ€™: A New Way to Gauge the Chances for Unresponsive Patients,Researchers have found a way to detect â€œcovert consciousnessâ€ù that could aid the recovery of people with severe brain injuries.,https://www.nytimes.com/2019/06/26/health/brain-injury-eeg-consciousness.html,2019-06-26T21:02:04+0000,Health,Health,Florida Woman
Hundreds of Denver Schools Are Closed as F.B.I. Seeks Woman â€˜Infatuatedâ€™ With Columbine,"The F.B.I. was searching for Sol Pais, who the authorities said was armed and had made a â€œthreat related possibly to the schools.â€ù",https://www.nytimes.com/2019/04/16/us/sol-pais-denver-columbine.html,2019-04-17T00:16:00+0000,U.S.,U.S.,Florida Woman
Woman Wakes After 27 Years Unconscious,An Emirati mother who suffered brain damage in a car accident in 1991 made an unexpected recovery at a clinic in Germany.,https://www.nytimes.com/2019/04/24/world/middleeast/woman-coma-27-years.html,2019-04-24T17:41:17+0000,World,World,Florida Woman
Sandy Hook Conspiracy Theorist Loses to Father of 6-Year-Old Victim Over Hoax,A Wisconsin judge ruled that it was defamatory to publish a book that said Leonard Pozner faked his sonâ€™s death certificate.,https://www.nytimes.com/2019/06/18/nyregion/sandy-hook-victim-court-ruling.html,2019-06-18T23:11:21+0000,New York,New York,Florida Woman
New Revelations in Case of Chinese Businesswoman Arrested at Mar-a-Lago,"Yujing Zhang, who is charged with lying to a federal agent, will have to remain in jail while her case winds through the courts.",https://www.nytimes.com/2019/04/15/us/zhang-mar-a-lago.html,2019-04-15T15:27:06+0000,U.S.,U.S.,Florida Woman
Florida Woman Whose â€˜Stand Your Groundâ€™ Defense Was Rejected Is Released,"Marissa Alexander, 36, had been convicted of aggravated assault in a 2010 shooting involving her former husband. She has been released from prison and house confinement and has turned to advocacy.",https://www.nytimes.com/2017/02/07/us/marissa-alexander-released-stand-your-ground.html,2017-02-07T19:10:11+0000,U.S.,U.S.,Florida Woman
"Hours After French Patient Is Taken Off Life Support, a Court Orders It Be Restored","Vincent Lambert was left in a vegetative state after a 2008 car accident. His family is split over removing life support, and his case has attracted intense attention from the media and politicians.",https://www.nytimes.com/2019/05/20/world/europe/france-vincent-lambert-life-support.html,2019-05-20T11:32:20+0000,World,World,Florida Woman
Florida Woman Charged in Death of Infant in â€˜Co-Sleepingâ€™ Case,Erin Piche-Pitts was charged with aggravated manslaughter of a child after she fell asleep while bottle feeding her infant son and he died.,https://www.nytimes.com/2016/12/21/us/erin-piche-pitts-infant-death.html,2016-12-21T20:33:56+0000,U.S.,U.S.,Florida Woman
When Covering Florida Elections Turns Into a Weekslong Endeavor,"Covering Florida elections for the past decade, I became inevitably steeped in the lore of Bush v. Gore.",https://www.nytimes.com/2018/11/17/reader-center/florida-recount-election.html,2018-11-17T19:39:50+0000,Reader Center,Reader Center,Florida Woman
School Shooting Leaves 1 Student Dead and 8 Injured,"Two students were in custody after the shooting at STEM School Highlands Ranch, near Denver.",https://www.nytimes.com/2019/05/07/us/colorado-school-shooting.html,2019-05-07T21:34:52+0000,U.S.,U.S.,Florida Woman
Body of Woman Attacked by an Alligator Is Found in Florida,"Shizuka Matsuki was last seen taking her dogs for a walk at a park in Davie, Fla., on Friday morning. Then, a witness said, she disappeared.",https://www.nytimes.com/2018/06/09/us/florida-alligator-woman.html,2018-06-09T19:45:42+0000,U.S.,U.S.,Florida Woman
Florida Woman Is Charged With Threatening Sandy Hook Parent,"The belief of Lucy Richards that the school massacre in Newton, Conn., was a hoax motivated her to send threatening messages to the parent of one of the slain children, officials say.",https://www.nytimes.com/2016/12/07/us/florida-woman-is-charged-with-threatening-sandy-hook-parent.html,2016-12-08T00:23:33+0000,U.S.,U.S.,Florida Woman
White Man Is Accused of Seeking a Hit Man to Lynch His Black Neighbor: â€˜$500 and Heâ€™s a Ghostâ€™,"The South Carolina man paid an undercover agent to hang his neighbor from a tree with a burning cross on the lawn, according to court papers.",https://www.nytimes.com/2018/05/10/us/hitman-black-neighbor.html,2018-05-10T17:21:29+0000,U.S.,U.S.,Florida Woman
Trumpâ€™s New Target in the Politics of Fear: Citizenship ,The president has embraced McCarthy-era scare tactics. We may need a constitutional amendment to guarantee that citizenship canâ€™t be revoked.,https://www.nytimes.com/2018/07/23/opinion/trump-birthright-citizenship-mccarthy.html,2018-07-23T22:45:04+0000,Opinion,Opinion,Florida Woman
F.D.A. Moves to Stop Rogue Clinics From Using Unapproved Stem Cell Therapies,The agency is seeking permanent injunctions against companies in Florida and California that are marketing unregulated uses of stem cells.,https://www.nytimes.com/2018/05/09/health/fda-stem-cell-clinics.html,2018-05-10T00:01:32+0000,Health,Health,Florida Woman
Sandy Hook Parents Sue Alex Jones for Defamation,Mr. Jones and his conspiracy theory website Infowars have long claimed that the killing of 26 people at the Connecticut elementary school was a â€œgiant hoax.â€ù,https://www.nytimes.com/2018/04/17/business/media/alex-jones-sandy-hook.html,2018-04-17T12:48:10+0000,Business Day,Business Day,Florida Woman
"An American 13-Year-Old, Pregnant and Married to Her Rapist","Thousands of underage American girls are married each year, often to their rapists â€” and itâ€™s perfectly legal.",https://www.nytimes.com/2018/06/01/opinion/sunday/child-marriage-delaware.html,2018-06-01T10:00:06+0000,Opinion,Opinion,Florida Woman
Live-Streaming Florida Woman Charged With Drunken Driving,"The woman had invited viewers to watch her bar-hop using the live-streaming app Periscope, then got lost on her drive home, saying she was drunk.",https://www.nytimes.com/2015/10/14/us/live-streaming-florida-woman-charged-with-drunken-driving.html,2015-10-13T16:29:00+0000,U.S.,U.S.,Florida Woman
Cheaper Health Plans Promoted by Trump Have a History of Fraud,Records reveal that fraud and abuse in small-business health plans have left employers and employees with hundreds of millions of dollars in unpaid medical bills.,https://www.nytimes.com/2017/10/21/us/politics/trump-association-health-plans-fraud.html,2017-10-21T15:44:18+0000,U.S.,U.S.,Florida Woman
"In British Babyâ€™s Case, Catholic Views Arenâ€™t So Clear-Cut","The Catholic Churchâ€™s views on end-of-life care are nuanced, but opposed to the idea that courts have the final say.",https://www.nytimes.com/2017/07/05/world/europe/uk-charlie-gard.html,2017-07-06T00:53:39+0000,World,World,Florida Woman
Deadly Convenience: Keyless Cars and Their Carbon Monoxide Toll,"Weaned from using a key, drivers have left cars running in garages, spewing exhaust into homes. Despite years of deaths, regulatory action has lagged.",https://www.nytimes.com/2018/05/13/business/deadly-convenience-keyless-cars-and-their-carbon-monoxide-toll.html,2018-05-13T09:00:08+0000,Business Day,Business Day,Florida Woman
Did You Take Part in Any Post-Thanksgiving Shopping?,Why do you think so many people have a tradition of going shopping after Thanksgiving?,https://www.nytimes.com/2016/11/28/learning/did-you-take-part-in-any-post-thanksgiving-shopping.html,2016-11-28T10:32:03+0000,The Learning Network,The Learning Network,Florida Woman
F.D.A. Cracks Down on â€˜Unscrupulousâ€™ Stem Cell Clinics,"The agency reported actions against a biotech company and two large stem cell clinics over unapproved treatments, a move it said was necessary to make way for speedier approval of legitimate therapies.",https://www.nytimes.com/2017/08/28/health/fda-stem-cell.html,2017-08-28T18:19:37+0000,Health,Health,Florida Woman
Teenager Pleads Guilty in Stabbing Death of American Tourist in London,"The August attack in Russell Square also left five other people injured, and the teenager, Zakaria Bulhan, was found to have paranoid schizophrenia.",https://www.nytimes.com/2017/02/06/world/europe/zakaria-bulhan-london-stabbing-american-tourist.html,2017-02-06T18:49:21+0000,World,World,Florida Woman
"Megyn Kelly Calls Alex Jonesâ€™s Sandy Hook Denial â€˜Revolting,â€™ but Still Plans to Air Interview","Ms. Kelly responded to criticism of her decision to feature Mr. Jones, who has called the 2012 Sandy Hook school massacre a hoax, on her news program.",https://www.nytimes.com/2017/06/12/business/media/megyn-kelly-alex-jones-newtown.html,2017-06-12T18:41:42+0000,Business Day,Business Day,Florida Woman
Dispute Over British Babyâ€™s Fate Draws In Pope and U.S. President,"British and European courts have ruled that a hospital can turn off life support for Charlie Gard, an infant with a rare genetic disorder.",https://www.nytimes.com/2017/07/03/world/europe/uk-trump-pope-francis-charlie-gard.html,2017-07-03T14:56:59+0000,World,World,Florida Woman
