Title,Summary,Link,Time,Source,Address
Silver Alert issued for Cantonment man,"Copyright 2019 Nexstar Broadcasting, Inc. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed.

ESCAMBIA COUNTY, Fla. (WKRG) -- The Escambia County Sheriff's Office has issued a silver alert for John Fetzer from Cantonment. Investigators say John Fetzer was last seen around 1 a.m. on May 12th in on Cedar Tree Lane. Fetzer was wearing blue jeans, a blue polo, brown shoes, and black glasses. Fetzer could be driving a black Dodge Ram with Florida license plate number GVWW99. If you have any information, call 911.",http://www.wkrg.com/news/northwest-florida/silver-alert-issued-for-cantonment-man/1998640030,2019-05-13T09:14:18Z,WKRG,"555 Broadcast Dr, Mobile, AL 36606, USA"
"Florida woman threw her 10-month-old baby against wooden fence in fit of rage, police say","A Florida mother is accused of throwing her baby against a wooden fence in a fit of rage because the child wouldn’t stand up, police said.

Natalee Sesler, 25, of New Port Richey, is also accused of throwing a metal rake at her 10-month-old child, police said. She was charged with child abuse, child neglect, aggravated assault, resisting a police officer without violence and violating probation, according to WTSP-TV.

FLORIDA MAN, 73, FATALLY SHOT WIFE BECAUSE SHE WAS BEING 'DISRESPECTFUL,' POLICE SAY

Sesler was visiting a man in the area when she allegedly threw the child into the fence. She had tossed the rake at the child as well but missed, according to the station. She then reportedly picked up the baby by the leg and threw him into a chair.

Shannon Wixon was outside with her daughter when they saw the incident.

“They came running into the house and they told me, 'There's a lady over here that just threw her baby against the wall,’” Wixon told FOX 13 News.

Wixon saw the horrifying scene unfold.

“I came out and looked behind the fence of apartment one, and that's when I'd seen the lady sitting there and her child was laying over a lawn chair, hanging upside down pretty much, screaming, crying,” Wixon said. “She was just sitting there not doing anything.”

Wixon added that Sesler shook the baby once more and “took off walking.”

CLICK HERE TO GET THE FOX NEWS APP

Sesler was arrested attempting to board a nearby bus before she was arrested, according to FOX 13 News.

The baby suffered a small bruise and swelling near one eye and was taken to the hospital for tests before being turned over to other family members, according to police.

Police said drugs may have played a role in the incident.",https://www.foxnews.com/us/florida-woman-threw-her-10-month-old-baby-against-wooden-fence-in-fit-of-rage-police-say,2019-05-13T07:39:53Z,Fox News,"1211 Avenue of the Americas New York, NY 10036"
Man injured during Sunday night crash in Pensacola,"Copyright 2019 Nexstar Broadcasting, Inc. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed.

ESCAMBIA COUNTY, Fla. (WKRG) -- An investigation is underway after a man was struck by a car in Pensacola Sunday night. According to a report from the Florida Highway Patrol, 73-year-old Kenneth Beisham was struck by a car at the intersection of Pine Forest Road and Tillman Lane. The crash happened around 11 p.m. The driver has been identified as 52-year-old Joseph Bande. According to the FHP report, Bande did not see Beisham in the road. Beisham was seriously injured in the crash. It's not clear if any charges will be filed.",http://www.wkrg.com/news/northwest-florida/man-injured-during-sunday-night-crash-in-pensacola/1998587911,2019-05-13T07:26:15Z,WKRG,"555 Broadcast Dr, Mobile, AL 36606, USA"
"Florida man, 73, fatally shot wife because she was being 'disrespectful,' police say","A Florida man told police he fatally shot his wife in the face during a Wednesday night argument because he didn’t like her “disrespectful” tone, police said.

Fernando De Baere, 73, faces murder charges in the killing of his 47-year-old wife, Maria Sherman, the Sun-Sentinel reported Friday.

De Baere allegedly shot his wife in the face with a .38-caliber handgun, returned the gun to a closet, then confessed to a neighbor what he’d done, according to the newspaper. The neighbor then called the police.

Responding officers found Sherman sitting upright on the couch with evidence that she’d been shot at point-blank range, police said.

ALABAMA POLICE OFFICER FATALLY SHOT; WIFE CHARGED WITH MURDER, AUTHORITIES SAY

De Baere told police he had been arguing with Sherman about her coworker, and he didn’t like “the way that she was talking to him,” the Sun-Sentinel reported, citing a police report.

GET THE FOX NEWS APP

De Baere was arrested and jailed without bond a premeditated murder charge, according to records cited by the Sun-Sentinel.",https://www.foxnews.com/us/florida-man-73-shot-wife-because-of-her-disrespectful-tone-police,2019-05-13T04:47:34Z,Fox News,"1211 Avenue of the Americas New York, NY 10036"
Orange County man back behind bars after peeking inside teen's bedroom,"An Orange County man previously accused of peeking inside of a teenager's bedroom window is now back behind bars on new voyeurism charges.

Deputies arrested Thai Williams, 18, Friday after investigators said a neighbor's home surveillance camera caught him on video looking into a girl's bedroom while using a flashlight last Thursday and Friday morning.

The latest alleged victim did not want to be identified, but she told News 6 that Williams is her former classmate from school and his allegations are concerning.

""Not knowing exactly when or what time he was looking at me, if it was while I was getting ready, or while I didn’t have any clothes on,"" the victim said. ""I wouldn’t wish this upon anyone.""

The alleged victim told us she's still trying to recover from the scare.

""I feel uncomfortable now, myself to get ready in my room, to get ready anywhere, and I’m just very cautious about what I do now,"" she said. ""I never thought this would happen to me now, but it did, and it can happen to anyone.""

Williams faced a jail judge over the weekend in Orange County. She granted him no bond and revoked his bond based on his previous voyeurism charges earlier this year.

Court records show Williams was arrested back in February on similar allegations.

Deputies said video cameras caught Williams on at least six different occasions, from August of 2018 to February 2019, peeking inside of a different former classmate’s bedroom window in a separate Orange County neighborhood. In one case, a neighbor told deputies he saw Williams using a ladder to peek inside of the girl's bedroom, records show.

The latest alleged victim said she hopes Williams remains in jail on no bond.

""All around I hope that he gets the help that he needs because I don’t want any of this to happen again to any other girl.""

Williams remains locked up in the Orange County Jail on a new charge of voyeurism among other charges.

Copyright 2019 by WKMG ClickOrlando - All rights reserved.",https://www.clickorlando.com/news/orange-county-man-back-behind-bars-after-peeking-inside-teens-bedroom,2019-05-13T03:45:46Z,WKMG,"4466 N John Young Pkwy, Orlando, FL 32804, USA"
Silver Alert issued for missing man with dementia,,https://www.wfla.com/video/silver-alert-issued-for-missing-man-with-dementia_20190513031207/1998438291,2019-05-13T03:17:05Z,WFLA,"200 S Parker St, Tampa, FL 33606, USA"
Man arrested after deadly machete attack on Appalachian Trail hikers,"A Massachusetts man faces a federal murder charge after he allegedly attacked two hikers on the Appalachian Trail, leaving one of them dead, according to the U.S. Attorney's Office for the Western District of Virginia.James L. Jordan, 30, was arrested Saturday morning and charged with one count of murder and one count of assault with the intent to murder, the U.S. Attorney's Office said in a statement. Charges will be formally filed in U.S. District Court in Abingdon on Monday morning, when Jordan is expected to make his first court appearance.The Wythe County Sheriff's Office previously said in a statement they were investigating reports that a man with a machete injured two hikers — one man and one woman — but did not say that one of them had died. Neither victim has been identified.U.S. Attorney Thomas Cullen applauded local law enforcement agencies for rescuing the hikers following the alleged attack and taking Jordan into custody.""Thanks to their efforts, the suspect was safely apprehended and a seriously wounded victim received critical medical care,"" Cullen said in the news release. ""We will continue to work with our state and local partners to bring the perpetrator of this senseless and brutal attack to justice.""The investigation is ongoing, the statement said.CNN was unable to determine Sunday whether Jordan was represented by an attorney.Wythe County Sheriff Keith Dunagan told WSLS-TV authorities were able to find the injured man using GPS technology after he sent an emergency notification on his phone.""The phone company notified us and that's when we went up there and found the suspect and the victim,"" the sheriff said. ""We had our whole (tactical) team out there, so (the suspect) wisely just surrendered himself.""The injured woman was found only after she had walked six miles while bleeding, Dunagan told WSLS-TV, and found other hikers and asked for help.

A Massachusetts man faces a federal murder charge after he allegedly attacked two hikers on the Appalachian Trail, leaving one of them dead, according to the U.S. Attorney's Office for the Western District of Virginia.

James L. Jordan, 30, was arrested Saturday morning and charged with one count of murder and one count of assault with the intent to murder, the U.S. Attorney's Office said in a statement. Charges will be formally filed in U.S. District Court in Abingdon on Monday morning, when Jordan is expected to make his first court appearance.

Advertisement

The Wythe County Sheriff's Office previously said in a statement they were investigating reports that a man with a machete injured two hikers — one man and one woman — but did not say that one of them had died. Neither victim has been identified.

U.S. Attorney Thomas Cullen applauded local law enforcement agencies for rescuing the hikers following the alleged attack and taking Jordan into custody.

""Thanks to their efforts, the suspect was safely apprehended and a seriously wounded victim received critical medical care,"" Cullen said in the news release. ""We will continue to work with our state and local partners to bring the perpetrator of this senseless and brutal attack to justice.""

The investigation is ongoing, the statement said.

CNN was unable to determine Sunday whether Jordan was represented by an attorney.

Wythe County Sheriff Keith Dunagan told WSLS-TV authorities were able to find the injured man using GPS technology after he sent an emergency notification on his phone.

""The phone company notified us and that's when we went up there and found the suspect and the victim,"" the sheriff said. ""We had our whole (tactical) team out there, so (the suspect) wisely just surrendered himself.""

The injured woman was found only after she had walked six miles while bleeding, Dunagan told WSLS-TV, and found other hikers and asked for help.

AlertMe",https://www.wpbf.com/article/man-arrested-after-deadly-machete-attack-on-appalachian-trail-hikers/27447432,2019-05-13T03:12:00Z,WPBF-TV,"Northcorp Business Park, Palm Beach Gardens, FL 33410, USA"
Man accused of peering into window at teen in Orange County faces judge,"Man accused of peering into window at teen in Orange County faces judge

A man is held on no bond after being accused of peeping into someone's window again.A teenage girl told WESH 2 News she was relieved to learn a man who's accused of peeping into her window is being held on no bond.According to the arrest affidavit, Thai Williams, 18, was caught on a surveillance camera peering into the window of a home on Lark's Nest court early Friday morning.The 17-year-old girl who lives in the home said she saw Williams peering into her bedroom with a flashlight.Investigators with the Orange County Sheriff's Office said a surveillance camera showed Williams take a chair from the neighbors patio and use it to stand on as he peered in the window.Williams was arrested after the alleged victim alerted an adult in her house. That adult went outside, found Williams and stopped him until deputies arrived, the report said.At Williams initial appearance before a judge it was noted that he was already on bond on charges of voyeurism, stalking and burglary dating back to several different incidents in February.The judge said because of Williams criminal record, for now, she would order him held on no bond.

A man is held on no bond after being accused of peeping into someone's window again.

A teenage girl told WESH 2 News she was relieved to learn a man who's accused of peeping into her window is being held on no bond.

Advertisement

According to the arrest affidavit, Thai Williams, 18, was caught on a surveillance camera peering into the window of a home on Lark's Nest court early Friday morning.

The 17-year-old girl who lives in the home said she saw Williams peering into her bedroom with a flashlight.

Investigators with the Orange County Sheriff's Office said a surveillance camera showed Williams take a chair from the neighbors patio and use it to stand on as he peered in the window.

Williams was arrested after the alleged victim alerted an adult in her house. That adult went outside, found Williams and stopped him until deputies arrived, the report said.

At Williams initial appearance before a judge it was noted that he was already on bond on charges of voyeurism, stalking and burglary dating back to several different incidents in February.

The judge said because of Williams criminal record, for now, she would order him held on no bond.

AlertMe",https://www.wesh.com/article/man-accused-of-peering-into-window-at-teen-in-orange-county-faces-judge/27447761,2019-05-13T02:17:00Z,WESH-TV,"1021 Wymore Rd, Winter Park, FL 32789, USA"
1 dead in shootout near Trump hotel,"(CNN) - A man died and a woman was injured in a shootout near a Trump resort in the Miami area Sunday.

According to witnesses, the shooting began when two groups of rival rappers started arguing outside the Trump International Beach Resort in Sunny Isles Beach and it led to gunfire.

Someone who knows the man who was killed says he was not involved in the shootout but got caught in the crossfire.

A 19-year-old woman was taken to a hospital in unknown condition.

According to witnesses, she is rapper NBA YoungBoy's girlfriend.

Police are searching for three suspects who had guns, including handguns and an AK-47s.",http://www.wfla.com/news/florida/1-dead-in-shootout-near-trump-hotel/1998310256,2019-05-13T01:22:52Z,WFLA,"200 S Parker St, Tampa, FL 33606, USA"
Silver Alert issued for missing Lakeland man with dementia,"Copyright 2019 Nexstar Broadcasting, Inc. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed. John Patrick Gordon. (Photo: Lakeland Police Department)

LAKELAND, Fla. (WFLA) - The Lakeland Police Department has issued a Silver Alert for a missing man with dementia.

John Patrick Gordon, 79, was last seen leaving the parking garage at Lakeland Medical Center at about 10:30 a.m. Sunday, according to police.

Gordon left in a silver 2008 Toyota Tacoma pickup truck bearing Florida Tag# KGK-X21. The truck has a sticker on the rear that says either “Alley Cat” or “Ally Cat.”

Police said Gordon was last known to be in the Daytona Area around 6 p.m. and was last seen wearing a multicolored black, brown, and gold striped shirt, khaki pants, and possibly white shoes.

Anyone who sees him can call 911 or the Lakeland Police Department at 863-834-6900.",https://www.wfla.com/news/polk-county/silver-alert-issued-for-missing-lakeland-man-with-dementia/1998212879,2019-05-12T23:38:14Z,WFLA,"200 S Parker St, Tampa, FL 33606, USA"
