Title,Summary,Link,Time,Section,Subsection,Category
California Man Sentenced for Keeping 15-Year-Old Captive,One of two men charged with imprisoning a 15-year-old girl in a metal box at their Northern California marijuana farm was sentenced Wednesday to 31 years in federal prison.,https://www.nytimes.com/aponline/2019/07/10/us/ap-us-california-girl-held-captive.html,2019-07-11T00:57:49+0000,U.S.,U.S.,California Man
F.B.I. Arrests California Man After Threats to Kill Boston Globe Employees,"According to the F.B.I., the California man made a series of menacing phone calls to The Boston Globe, calling the newspaper an “enemy of the people.”",https://www.nytimes.com/2018/08/30/us/politics/fbi-threat-boston-globe.html,2018-08-30T16:19:02+0000,U.S.,U.S.,California Man
Bayer Shares Up 1.8% Trade After U.S. Roundup Rule,Shares in German chemicals company Bayer rose 1.8% in early trade on Tuesday after a U.S. judge slashed a damages award Bayer owes a California man who blamed its Roundup weed killer for his cancer.,https://www.nytimes.com/reuters/2019/07/16/business/16reuters-bayer-stocks.html,2019-07-16T06:39:31+0000,Business Day,Business Day,California Man
"Russians Bought Bank Accounts From California Man, Mueller Says","A California man illegally provided hundreds of bank account numbers to a Russian social media operation, the special counsel revealed.",https://www.nytimes.com/2018/02/16/us/politics/richard-pinedo-russia-bank-accounts-guilty-plea-mueller.html,2018-02-16T20:32:48+0000,U.S.,U.S.,California Man
U.S. Judge Slashes Roundup Jury Award to $25.3 Million; Bayer Still Plans to Appeal,"A federal judge on Monday slashed a damages award Bayer AG owed a California man who blamed Roundup weed killer for his cancer, to $25.27 million from $80.27 million, while rejecting the company's bid for a new trial.",https://www.nytimes.com/reuters/2019/07/15/business/15reuters-bayer-glyphosate-lawsuit.html,2019-07-15T20:33:51+0000,Business Day,Business Day,California Man
"Weekly Health Quiz: Food, Mood and Older Fathers",Test your knowledge of this week’s health news.,https://www.nytimes.com/interactive/2019/03/29/well/live/29healthquiz-03292019.html,2019-03-29T09:00:02+0000,Well,Well,California Man
"Man Faces 8 Counts of Attempted Murder After Driving Into Pedestrians, Police Say","The authorities said Isaiah J. Peoples intentionally hit people with his car in Sunnyvale, Calif., on Tuesday.",https://www.nytimes.com/2019/04/24/us/car-crash-pedestrians-sunnyvale.html,2019-04-25T03:25:59+0000,U.S.,U.S.,California Man
Monsanto Ordered to Pay $80 Million in Roundup Cancer Case,The jury found that Monsanto should be held liable for the man’s cancer because it failed to warn him about the herbicide’s cancer risks.,https://www.nytimes.com/2019/03/27/us/monstanto-roundup-california-verdict.html,2019-03-28T01:27:27+0000,U.S.,U.S.,California Man
How Convicts Ordered to Stay Offline Try to Slip Their Digital Leashes,A hacker and a sex offender share what happened when they sought to trick the probation officers monitoring them.,https://www.nytimes.com/2019/05/26/us/computer-internet-restrictions-probation.html,2019-05-26T09:00:06+0000,U.S.,U.S.,California Man
"Monsanto Weedkiller Roundup Was ‘Substantial Factor’ in Causing Man’s Cancer, Jury Says",The finding was the first verdict from a federal jury in thousands of similar cases against the company.,https://www.nytimes.com/2019/03/19/business/monsanto-roundup-cancer.html,2019-03-20T03:08:33+0000,Business Day,Business Day,California Man
Elon Musk Predicts Tesla Driverless Taxi Fleet Next Year,Mr. Musk said Tesla cars would soon drive themselves and serve as robot taxis. But many experts think autonomous cars are at least several years away.,https://www.nytimes.com/2019/04/22/business/elon-musk-tesla-autopilot.html,2019-04-22T23:41:59+0000,Business Day,Business Day,California Man
"To Nurture Nature, Neglect Your Lawn",Why poison the earth when you can have wildflowers at your feet and songbirds in your trees without even trying?,https://www.nytimes.com/2019/04/15/opinion/nature-lawns-environment.html,2019-04-15T10:00:04+0000,Opinion,Opinion,California Man
Man Charged With Threatening to Kill Ajit Pai’s Family,Federal officials said the man said he made the threat because he was “angry” about the repeal of net neutrality regulations.,https://www.nytimes.com/2018/06/29/technology/ajit-pai-death-threat.html,2018-06-29T22:32:12+0000,Technology,Technology,California Man
Lessons From a ‘California Witch Hunt’,Friday: An exhibit tells the story of the California Un-American Activities Committee. Also: The state’s fastest-growing city; and prunes,https://www.nytimes.com/2019/05/24/us/california-witch-hunt-tenney-communists.html,2019-05-24T13:41:50+0000,U.S.,U.S.,California Man
Man Pleads Guilty to ‘Swatting’ Hoax That Resulted in a Fatal Shooting,"Tyler Barriss, 25, of Los Angeles, faces at least 20 years in prison for making a hoax call to Wichita, Kan., that lead to another man’s death.",https://www.nytimes.com/2018/11/13/us/barriss-swatting-wichita.html,2018-11-14T01:29:15+0000,U.S.,U.S.,California Man
The Mueller Investigation Is Bigger Than Rod Rosenstein ,"Even if he got fired, a replacement dead set on shutting down the investigation would find it nearly impossible to pull off. ",https://www.nytimes.com/2018/10/09/opinion/rod-rosenstein-trump-robert-mueller-russia.html,2018-10-09T09:45:03+0000,Opinion,Opinion,California Man
Man Repeatedly Crashes Truck Into Dallas TV Station’s Building,"The man was detained after ramming the truck into the local Fox affiliate’s building, upset about the fatal police shooting of a friend in 2012, the police said.",https://www.nytimes.com/2018/09/05/us/kdfw-truck-crash-fox4-dallas.html,2018-09-05T13:16:33+0000,U.S.,U.S.,California Man
